Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
FUT9	Fuc-TIX	ENSG00000172461	"Fucosyltransferase 9"	Q9Y231	6	96015974-96215612	"Enzymes, Metabolic proteins, Predicted membrane proteins"	"Carbohydrate metabolism, Lipid metabolism"	"Glycosyltransferase, Transferase"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	4	"brain: 16.6;stomach 1: 22.5"	"Cell type enhanced"	"Detected in some"		"Astrocytes: 736.3;Excitatory neurons: 321.8;Inhibitory neurons: 227.7;Oligodendrocyte precursor cells: 158.5;Oligodendrocytes: 209.1"	"Low cell type specificity"	"Detected in all"			"Cancer enhanced"	"Detected in single"		"Glioblastoma Multiforme (TCGA): 1.7"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"thyroid cancer: 2.8"	"Adrenal gland - Adrenal medulla cells, Skin - Eccrine sweat gland cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA070923			Approved	"Nucleoplasm,Microtubules,Cytokinetic bridge,Cytosol"			Yes	No				"Cluster 22: Brain - Synaptic signal transduction"	"Cluster 40: Astrocytes - Astrocyte-neuron interactions"	"Cluster 16: Thyroid cancer - Neuronal signaling"	"Cluster 34: Neurons - Neuronal signaling"	4	Nucleoplasm	"Microtubules, Cytokinetic bridge, Cytosol"	"HPA070923: AB_2686323"			"unprognostic (2.21e-1)"				"unprognostic (2.02e-1)"	"unprognostic (4.32e-4)"																							
GPR25		ENSG00000170128	"G protein-coupled receptor 25"	O00155	1	200872981-200874178	"G-protein coupled receptors, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	4	"stomach 1: 1.9"	"Group enriched"	"Detected in some"	4	"Plasma cells: 9.9;T-cells: 6.3"	"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in single"		"Stomach Adenocarcinoma (TCGA): 1.5"	"Not detected"	"Not detected"			"Immune cell enhanced"	"Detected in many"		"memory CD4 T-cell: 27.6;T-reg: 44.3"	"Group enriched"	"Detected in many"	57	"B-cells: 14.5;T-cells: 44.3"	"Cancer enhanced"	"Detected in single"		"lymphoma: 2.7"	"Lung - T-cells, Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in many"			"Not detected"	"Not detected"										NA	NA			"Cluster 16: Non-specific - Cell proliferation"	"Cluster 47: Spleen - Immune response"		"Cluster 51: Myeloma - Immunoglobulins"	"Cluster 7: T-cells - T-cell receptor"	27						"unprognostic (8.74e-2)"																									"unprognostic (5.64e-2)"			
IGHJ1		ENSG00000211905	"Immunoglobulin heavy joining 1"	A0A0C4DH62	14	105865407-105865458	"Immunoglobulin genes, Predicted intracellular proteins, Predicted secreted proteins"	"Adaptive immunity, Immunity"			"Evidence at transcript level"	"Evidence at transcript level"	"No human protein/transcript evidence"	"Evidence at transcript level"	"Group enriched"	"Detected in many"	4	"intestine: 355.2;lymphoid tissue: 408.4;salivary gland: 113.8;stomach 1: 253.6"	"Cell type enriched"	"Detected in single"	19	"Plasma cells: 1.9"	"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Stomach Adenocarcinoma (TCGA): 77.2"	"Region enhanced"	"Detected in some"		"cerebral cortex: 3.6"	"Group enriched"	"Detected in some"	72	"memory B-cell: 277.0;naive B-cell: 181.7;plasmacytoid DC: 99.3"	"Group enriched"	"Detected in many"	73	"B-cells: 277.0;dendritic cells: 99.3"	"Group enriched"	"Detected in some"	6	"Leukemia: 3.4;lymphoma: 2.4;Myeloma: 1.5"	"Adipose visceral - Plasma cells, Adrenal gland - Plasma cells, Breast - Plasma cells, Liver - Plasma cells, Lung - Plasma cells, Minor Salivary Gland - Plasma cells, Pancreas - Plasma cells, Prostate - Plasma cells, Skin - Plasma cells, Spleen - Plasma cells, Stomach - Plasma cells, Thyroid gland - Plasma cells"														"Immunoglobulin genes"	Immunity	NA	NA			"Cluster 23: B-cells - Immunoglobulins"		"Cluster 43: Hindbrain - Mixed function"	"Cluster 14: Myeloid leukemia - Innate immune response"	"Cluster 61: Plasma cells - Immunoglobulins & histones"					"unprognostic (5.83e-1)"	"unprognostic (1.39e-4)"		"unprognostic (1.14e-1)"	"unprognostic (4.81e-2)"	"unprognostic (8.51e-2)"	"unprognostic (2.19e-2)"		"unprognostic (1.42e-3)"		"unprognostic (6.88e-3)"	"unprognostic (1.69e-1)"	"unprognostic (2.11e-1)"	"unprognostic (1.44e-1)"		"unprognostic (3.26e-2)"	"unprognostic (1.98e-3)"	"unprognostic (1.39e-1)"	"unprognostic (1.24e-1)"	"unprognostic (2.53e-2)"		"unprognostic (3.21e-1)"		"unprognostic (4.10e-2)"	"unprognostic (3.25e-3)"	"unprognostic (1.86e-1)"	"unprognostic (5.68e-1)"	"unprognostic (4.76e-2)"	"unprognostic (1.43e-1)"	"unprognostic (3.26e-1)"	"unprognostic (4.76e-2)"
IGHV3-15		ENSG00000211943	"Immunoglobulin heavy variable 3-15"	A0A0B4J1V0	14	106153624-106154163	"Immunoglobulin genes, Predicted secreted proteins"	"Adaptive immunity, Immunity"			"Evidence at protein level"	"Evidence at transcript level"	"No human protein/transcript evidence"	"Evidence at protein level"	"Group enriched"	"Detected in many"	4	"intestine: 186.7;stomach 1: 112.7;urinary bladder: 171.3"	"Cell type enriched"	"Detected in some"	149	"Plasma cells: 5188.6"	"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in some"			"Group enriched"	"Detected in some"	9	"MAIT T-cell: 21.7;memory B-cell: 26.1"	"Group enriched"	"Detected in many"	9	"B-cells: 26.1;T-cells: 21.7"	"Group enriched"	"Detected in some"	65	"Leukemia: 13.6;lymphoma: 27.0"	"Adipose subcutaneous - Plasma cells, Adipose visceral - Plasma cells, Adrenal gland - Plasma cells, Breast - Plasma cells, Colon - Plasma cells, Heart muscle - Plasma cells, Liver - Plasma cells, Lung - Plasma cells, Minor Salivary Gland - Plasma cells, Pancreas - Plasma cells, Pituitary gland - Plasma cells, Prostate - Plasma cells, Skeletal muscle - Plasma cells, Skin - Plasma cells, Spleen - Plasma cells, Stomach - Plasma cells, Thyroid gland - Plasma cells"														"Immunoglobulin genes"	Immunity	NA	NA		19000000000	"Cluster 17: B-cells - Immunoglobulins"		"Cluster 43: Hindbrain - Mixed function"	"Cluster 6: Leukemia - Signal transduction"	"Cluster 23: Plasma cells - Humoral immune response"					"unprognostic (3.88e-3)"	"unprognostic (5.77e-3)"		"unprognostic (7.78e-2)"	"unprognostic (1.13e-1)"	"unprognostic (1.12e-1)"			"unprognostic (6.47e-3)"	"unprognostic (3.30e-1)"	"unprognostic (5.32e-2)"	"unprognostic (2.48e-1)"	"unprognostic (1.78e-1)"	"unprognostic (3.22e-2)"		"unprognostic (3.62e-2)"	"unprognostic (1.20e-1)"	"unprognostic (2.11e-1)"	"unprognostic (6.27e-2)"	"unprognostic (1.33e-2)"	"unprognostic (1.20e-1)"	"unprognostic (2.92e-1)"	"unprognostic (3.17e-3)"	"unprognostic (2.91e-1)"	"unprognostic (4.15e-2)"	"unprognostic (1.19e-3)"	"unprognostic (3.67e-2)"	"unprognostic (3.33e-1)"	"unprognostic (9.75e-2)"	"unprognostic (9.48e-3)"	"unprognostic (1.73e-1)"
IGHV3-35		ENSG00000211957	"Immunoglobulin heavy variable 3-35 (non-functional)"	A0A0C4DH35	14	106389392-106389858	"Immunoglobulin genes, Predicted secreted proteins"	"Adaptive immunity, Immunity"			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	4	"intestine: 13.7;lymphoid tissue: 12.4;salivary gland: 7.3;stomach 1: 16.3;urinary bladder: 19.8"	"Cell type enriched"	"Detected in single"	27	"Plasma cells: 2.8"	"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Thyroid Carcinoma (TCGA): 7.6"	"Not detected"	"Not detected"			"Immune cell enriched"	"Detected in single"	16	"memory B-cell: 3.7"	"Lineage enriched"	"Detected in single"	35	"B-cells: 3.7"	"Not detected"	"Not detected"			"Adipose visceral - Plasma cells, Breast - Plasma cells, Kidney - Plasma cells, Liver - Plasma cells, Lung - Plasma cells, Minor Salivary Gland - Plasma cells, Prostate - Plasma cells, Spleen - Plasma cells, Stomach - Plasma cells, Thyroid gland - Plasma cells"														"Immunoglobulin genes"	Immunity	NA	NA		15000000000	"Cluster 17: B-cells - Immunoglobulins"			"Cluster 51: Myeloma - Immunoglobulins"	"Cluster 61: Plasma cells - Immunoglobulins & histones"						"unprognostic (7.54e-4)"		"unprognostic (1.23e-1)"	"unprognostic (4.09e-2)"	"unprognostic (5.61e-2)"			"unprognostic (1.88e-3)"		"unprognostic (8.53e-2)"	"unprognostic (9.05e-2)"				"unprognostic (5.64e-2)"	"unprognostic (8.70e-2)"	"unprognostic (2.02e-1)"	"unprognostic (2.41e-2)"		"unprognostic (2.36e-1)"	"unprognostic (4.54e-2)"			"unprognostic (7.97e-2)"	"unprognostic (1.44e-1)"		"unprognostic (1.02e-1)"	"unprognostic (5.37e-2)"	"unprognostic (4.13e-2)"	
IGHV3OR16-12	IGHV3/OR16-12	ENSG00000270467	"Immunoglobulin heavy variable 3/OR16-12 (non-functional)"		16	33802764-33803217	"Immunoglobulin genes, Predicted intracellular proteins"				"Evidence at transcript level"	"Evidence at transcript level"			"Group enriched"	"Detected in some"	4	"intestine: 13.3;lymphoid tissue: 19.6;stomach 1: 9.5"	"Cell type enriched"	"Detected in single"	12	"Plasma cells: 1.2"	"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Stomach Adenocarcinoma (TCGA): 6.9"	"Not detected"	"Not detected"			"Immune cell enriched"	"Detected in single"	10	"memory B-cell: 4.6"	"Lineage enriched"	"Detected in single"	46	"B-cells: 4.6"	"Not detected"	"Not detected"			"Breast - Plasma cells, Lung - Plasma cells, Minor Salivary Gland - Plasma cells, Spleen - Plasma cells, Stomach - Plasma cells, Thyroid gland - Plasma cells"																NA	NA			"Cluster 17: B-cells - Immunoglobulins"			"Cluster 5: Rhabdoid - Unknown function"	"Cluster 61: Plasma cells - Immunoglobulins & histones"								"unprognostic (3.63e-1)"		"unprognostic (4.34e-1)"			"unprognostic (9.06e-3)"			"unprognostic (1.14e-2)"				"unprognostic (6.20e-2)"	"unprognostic (2.95e-3)"	"unprognostic (1.59e-1)"	"unprognostic (1.18e-2)"							"unprognostic (3.04e-1)"		"unprognostic (1.62e-1)"	"unprognostic (5.62e-1)"	"unprognostic (2.99e-1)"	
IGKJ5		ENSG00000211593	"Immunoglobulin kappa joining 5"		2	88860568-88860605	"Immunoglobulin genes, Predicted intracellular proteins"				"Evidence at transcript level"	"Evidence at transcript level"			"Group enriched"	"Detected in many"	4	"intestine: 1188.4;lymphoid tissue: 1335.4;salivary gland: 640.6;stomach 1: 918.1;urinary bladder: 430.6"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in all"			"Region enhanced"	"Detected in many"		"spinal cord: 10.2"	"Group enriched"	"Detected in all"	24	"memory B-cell: 9209.6;naive B-cell: 8763.4"	"Lineage enriched"	"Detected in all"	25	"B-cells: 9209.6"	"Group enriched"	"Detected in some"	12	"lymphoma: 273.2;Myeloma: 381.9"	"Adipose subcutaneous - Plasma cells, Adipose visceral - Plasma cells, Adrenal gland - Plasma cells, Breast - Plasma cells, Colon - Plasma cells, Heart muscle - Plasma cells, Kidney - Plasma cells, Liver - Plasma cells, Lung - Plasma cells, Minor Salivary Gland - Plasma cells, Pancreas - Plasma cells, Pituitary gland - Plasma cells, Prostate - Plasma cells, Skeletal muscle - Plasma cells, Skin - Plasma cells, Spleen - Plasma cells, Stomach - Plasma cells, Thyroid gland - Plasma cells"																NA	NA			"Cluster 23: B-cells - Immunoglobulins"		"Cluster 43: Hindbrain - Mixed function"	"Cluster 46: Lymphoma - Humoral immune response"	"Cluster 61: Plasma cells - Immunoglobulins & histones"					"unprognostic (1.08e-1)"	"unprognostic (9.59e-4)"		"unprognostic (2.02e-1)"	"unprognostic (1.40e-1)"	"unprognostic (1.52e-1)"	"unprognostic (1.24e-2)"		"unprognostic (9.65e-5)"	"unprognostic (8.89e-1)"	"unprognostic (9.19e-2)"	"unprognostic (1.82e-2)"	"unprognostic (1.50e-1)"	"unprognostic (1.86e-1)"		"unprognostic (1.42e-1)"	"unprognostic (5.77e-2)"	"unprognostic (3.52e-1)"	"unprognostic (3.34e-1)"	"unprognostic (9.35e-3)"		"unprognostic (4.63e-1)"		"unprognostic (2.38e-1)"	"unprognostic (3.29e-2)"	"unprognostic (1.49e-1)"	"unprognostic (1.16e-1)"	"unprognostic (9.13e-3)"	"unprognostic (7.37e-2)"	"unprognostic (3.59e-1)"	"unprognostic (2.14e-1)"
IGKV3-11		ENSG00000241351	"Immunoglobulin kappa variable 3-11"	P04433	2	89027171-89027731	"Immunoglobulin genes, Predicted secreted proteins"	"Adaptive immunity, Immunity"			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	4	"intestine: 1323.4;lymphoid tissue: 2723.2;stomach 1: 765.4;urinary bladder: 1760.7"	"Cell type enriched"	"Detected in some"	94	"Plasma cells: 16738.2"	"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in all"			"Region enriched"	"Detected in many"	15	"spinal cord: 34.2"	"Group enriched"	"Detected in many"	290	"memory B-cell: 1738.3;naive B-cell: 1408.8"	"Lineage enriched"	"Detected in many"	321	"B-cells: 1738.3"	"Cancer enriched"	"Detected in some"	17	"Myeloma: 5519.7"	"Adipose subcutaneous - Plasma cells, Adipose visceral - Plasma cells, Adrenal gland - Plasma cells, Breast - Plasma cells, Colon - Plasma cells, Heart muscle - Plasma cells, Kidney - Plasma cells, Liver - Plasma cells, Lung - Plasma cells, Minor Salivary Gland - Plasma cells, Pancreas - Plasma cells, Pituitary gland - Plasma cells, Prostate - Plasma cells, Skeletal muscle - Plasma cells, Skin - Plasma cells, Spleen - Plasma cells, Stomach - Plasma cells, Thyroid gland - Plasma cells"									HPA047702	Approved		Approved	"Plasma membrane,Cytosol"	"Immunoglobulin genes"	Immunity	NA	NA		31000000000	"Cluster 23: B-cells - Immunoglobulins"		"Cluster 7: Non-specific - Ribosome"	"Cluster 51: Myeloma - Immunoglobulins"	"Cluster 23: Plasma cells - Humoral immune response"		"Plasma membrane, Cytosol"		"HPA047702: "	"unprognostic (3.27e-3)"	"unprognostic (1.01e-2)"		"unprognostic (4.52e-3)"	"unprognostic (1.91e-1)"	"unprognostic (4.63e-2)"	"unprognostic (1.74e-2)"	"unprognostic (2.66e-1)"	"unprognostic (8.76e-5)"	"unprognostic (2.57e-1)"	"unprognostic (5.92e-3)"	"unprognostic (4.83e-1)"	"unprognostic (1.09e-3)"	"unprognostic (2.21e-1)"		"unprognostic (5.31e-2)"	"unprognostic (2.99e-2)"	"unprognostic (5.29e-2)"	"unprognostic (1.31e-1)"	"unprognostic (1.04e-1)"	"unprognostic (3.27e-1)"	"unprognostic (1.24e-1)"	"unprognostic (4.50e-4)"	"unprognostic (3.25e-1)"	"unprognostic (7.59e-3)"	"unprognostic (3.58e-2)"	"unprognostic (3.88e-2)"	"unprognostic (1.02e-2)"	"unprognostic (1.76e-1)"	"unprognostic (3.41e-1)"	"unprognostic (1.99e-1)"
IGLV1-44		ENSG00000211651	"Immunoglobulin lambda variable 1-44"	P01699	22	22380766-22381347	"Immunoglobulin genes, Predicted secreted proteins"	"Adaptive immunity, Immunity"			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	4	"intestine: 580.6;lymphoid tissue: 1868.3;stomach 1: 509.4"	"Cell type enriched"	"Detected in some"	87	"Plasma cells: 8341.7"	"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Lung Squamous Cell Carcinoma (TCGA): 249.8"	"Low region specificity"	"Detected in some"			"Group enriched"	"Detected in some"	839	"memory B-cell: 975.4;naive B-cell: 853.6"	"Lineage enriched"	"Detected in many"	895	"B-cells: 975.4"	"Group enriched"	"Detected in some"	164	"lymphoma: 40.0;Myeloma: 93.6"	"Adipose subcutaneous - Plasma cells, Adipose visceral - Plasma cells, Adrenal gland - Plasma cells, Breast - Plasma cells, Colon - Plasma cells, Heart muscle - Plasma cells, Liver - Plasma cells, Lung - Plasma cells, Minor Salivary Gland - Plasma cells, Pancreas - Plasma cells, Pituitary gland - Plasma cells, Prostate - Plasma cells, Skeletal muscle - Plasma cells, Skin - Plasma cells, Spleen - Plasma cells, Stomach - Plasma cells, Thyroid gland - Plasma cells"														"Immunoglobulin genes"	Immunity	NA	NA		7000000000	"Cluster 17: B-cells - Immunoglobulins"		"Cluster 43: Hindbrain - Mixed function"	"Cluster 51: Myeloma - Immunoglobulins"	"Cluster 23: Plasma cells - Humoral immune response"					"unprognostic (3.63e-1)"	"unprognostic (9.16e-4)"		"unprognostic (4.35e-2)"	"unprognostic (2.45e-2)"	"unprognostic (9.62e-2)"	"unprognostic (1.69e-1)"		"unprognostic (5.38e-5)"		"unprognostic (8.72e-4)"	"unprognostic (8.29e-2)"	"unprognostic (2.67e-2)"	"unprognostic (3.21e-2)"		"unprognostic (1.68e-1)"	"unprognostic (2.98e-2)"	"unprognostic (1.46e-1)"	"unprognostic (3.67e-2)"	"unprognostic (1.43e-1)"	"unprognostic (2.73e-1)"	"unprognostic (1.06e-1)"	"unprognostic (9.75e-3)"	"unprognostic (1.27e-1)"	"unprognostic (6.67e-2)"	"unprognostic (3.20e-1)"	"unprognostic (1.37e-1)"	"unprognostic (7.94e-2)"	"unprognostic (5.52e-2)"	"unprognostic (1.17e-1)"	"unprognostic (2.94e-1)"
IGLV4-3		ENSG00000211672	"Immunoglobulin lambda variable 4-3"	A0A075B6K6	22	22871507-22872035	"Immunoglobulin genes, Predicted secreted proteins"	"Adaptive immunity, Immunity"			"Evidence at protein level"	"Evidence at transcript level"	"No human protein/transcript evidence"	"Evidence at protein level"	"Group enriched"	"Detected in some"	4	"lymphoid tissue: 15.2;stomach 1: 28.1"	"Cell type enriched"	"Detected in some"	18	"Plasma cells: 28.5"	"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Lung Squamous Cell Carcinoma (TCGA): 7.8"	"Region enhanced"	"Detected in single"		"medulla oblongata: 1.1"	"Group enriched"	"Detected in some"	98	"memory B-cell: 11.8;naive B-cell: 7.8"	"Lineage enriched"	"Detected in single"	119	"B-cells: 11.8"	"Group enriched"	"Detected in some"	35	"Leukemia: 30.3;Myeloma: 79.8"	"Adipose visceral - Plasma cells, Breast - Plasma cells, Liver - Plasma cells, Lung - Plasma cells, Minor Salivary Gland - Plasma cells, Prostate - Plasma cells, Spleen - Plasma cells, Stomach - Plasma cells, Thyroid gland - Plasma cells"	"Not detected"	"Not detected"												"Immunoglobulin genes"	Immunity	NA	NA		36000000	"Cluster 34: B-cells - Unknown function"		"Cluster 43: Hindbrain - Mixed function"	"Cluster 51: Myeloma - Immunoglobulins"	"Cluster 61: Plasma cells - Immunoglobulins & histones"						"unprognostic (4.83e-2)"				"unprognostic (3.41e-2)"			"unprognostic (2.45e-4)"							"unprognostic (2.84e-2)"	"unprognostic (2.40e-1)"	"unprognostic (3.36e-2)"	"unprognostic (2.12e-2)"							"unprognostic (1.02e-1)"		"unprognostic (1.08e-1)"	"unprognostic (1.07e-1)"		
IGLV4-69		ENSG00000211637	"Immunoglobulin lambda variable 4-69"	A0A075B6H9	22	22030934-22031472	"Immunoglobulin genes, Predicted secreted proteins"	"Adaptive immunity, Immunity"			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	4	"intestine: 417.3;lymphoid tissue: 446.6;salivary gland: 112.8;stomach 1: 277.5;urinary bladder: 197.4"	"Cell type enriched"	"Detected in some"	53	"Plasma cells: 4999.9"	"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in all"			"Region enriched"	"Detected in single"	4	"medulla oblongata: 2.1"	"Group enriched"	"Detected in some"	301	"memory B-cell: 333.0;naive B-cell: 225.3"	"Lineage enriched"	"Detected in single"	359	"B-cells: 333.0"	"Cancer enriched"	"Detected in single"	405	"lymphoma: 277.1"	"Adipose subcutaneous - Plasma cells, Adipose visceral - Plasma cells, Adrenal gland - Plasma cells, Breast - Plasma cells, Colon - Plasma cells, Kidney - Plasma cells, Liver - Plasma cells, Lung - Plasma cells, Minor Salivary Gland - Plasma cells, Pancreas - Plasma cells, Pituitary gland - Plasma cells, Prostate - Plasma cells, Skin - Plasma cells, Spleen - Plasma cells, Stomach - Plasma cells, Thyroid gland - Plasma cells"														"Immunoglobulin genes"	Immunity	NA	NA		640000000	"Cluster 17: B-cells - Immunoglobulins"		"Cluster 8: Immune cells - Immune response"	"Cluster 46: Lymphoma - Humoral immune response"	"Cluster 77: Plasma cells - Protein processing"					"unprognostic (1.06e-2)"	"unprognostic (6.56e-5)"		"unprognostic (1.86e-4)"	"unprognostic (4.39e-2)"	"unprognostic (1.02e-1)"	"unprognostic (6.37e-3)"		"unprognostic (1.18e-4)"	"unprognostic (3.66e-1)"	"unprognostic (1.03e-2)"	"unprognostic (4.09e-1)"	"unprognostic (1.40e-2)"	"unprognostic (3.67e-3)"		"unprognostic (1.43e-2)"	"unprognostic (1.42e-2)"	"unprognostic (1.12e-1)"	"unprognostic (1.43e-1)"	"unprognostic (9.94e-2)"	"unprognostic (1.91e-1)"	"unprognostic (2.58e-1)"	"unprognostic (5.93e-3)"	"unprognostic (1.04e-1)"	"unprognostic (5.83e-4)"	"unprognostic (9.22e-2)"	"unprognostic (7.14e-2)"	"unprognostic (1.17e-1)"	"unprognostic (1.73e-1)"	"unprognostic (6.03e-2)"	"unprognostic (1.26e-1)"
IL17REL	FLJ41993	ENSG00000188263	"Interleukin 17 receptor E like"		22	49991811-50012765	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"			"Group enriched"	"Detected in some"	4	"lymphoid tissue: 4.2;stomach 1: 1.8"	"Group enriched"	"Detected in some"	26	"Gastric mucus-secreting cells: 13.6;Oocytes: 4.4"	"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in single"		"Stomach Adenocarcinoma (TCGA): 1.0"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Stomach - Gastric mucous cells"					"Low region specificity"	"Detected in all"			HPA045546	Supported						NA	NA					"Cluster 56: Hypothalamus - Neuropeptide signaling"	"Cluster 7: Liver cancer - Metabolism"	"Cluster 46: Gastric mucus-secreting cells - Digestion"				"HPA045546: AB_10963836"			"unprognostic (5.94e-2)"																"unprognostic (2.93e-1)"									"unprognostic (1.28e-1)"			
