Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
NPAS4	"bHLHe79, Le-PAS, NXF, PASD10"	ENSG00000174576	"Neuronal PAS domain protein 4"	Q8IUM7	11	66421004-66426707	"Predicted intracellular proteins, Transcription factors"	"Differentiation, Neurogenesis, Transcription, Transcription regulation"	"Activator, DNA-binding"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	6	"brain: 20.7;pituitary gland: 18.8"	"Cell type enriched"	"Detected in some"	5	"Horizontal cells: 26.4"	"Cell type enhanced"	"Detected in many"		"medium spiny neuron: 5.8"	"Not detected"	"Not detected"			"Group enriched"	"Detected in many"	13	"cerebellum: 368.0;cerebral cortex: 115.4"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Adipose subcutaneous - Smooth muscle cells, Adipose visceral - Smooth muscle cells, Prostate - Smooth muscle cells, Skin - Smooth muscle cells"	"Low region specificity"	"Detected in many"			"Group enriched"	"Detected in many"	4	"basal ganglia: 6.5;cerebellum: 6.8;cerebral cortex: 9.9;hippocampal formation: 6.1;olfactory bulb: 5.1"	"HPA039248, HPA039255"	Uncertain		Approved	"Nucleoplasm,Nuclear membrane,Nuclear bodies,Vesicles"			NA	NA				"Cluster 65: Cerebellum - Nervous system development"	"Cluster 35: Non-specific - DNA binding"	"Cluster 17: Neuroblastoma - Neuronal signaling"	"Cluster 71: Horizontal & Bipolar cells - Neuronal signaling"	3	"Nucleoplasm, Nuclear bodies"	"Nuclear membrane, Vesicles"	"HPA039248: , HPA039255: AB_10674282"			"unprognostic (1.22e-1)"																												
PDZD7	"bA108L7.8, DFNB57, FLJ23209, PDZK7"	ENSG00000186862	"PDZ domain containing 7"	Q9H5P4	10	101007679-101032295	"Disease related genes, Human disease related genes, Predicted intracellular proteins"			"Deafness, Disease variant, Non-syndromic deafness, Retinitis pigmentosa, Usher syndrome"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	6	"brain: 17.3;intestine: 19.4;pituitary gland: 5.8"	"Cell type enhanced"	"Detected in many"		"Bipolar cells: 12.4;Excitatory neurons: 31.2;Horizontal cells: 25.2;Inhibitory neurons: 15.8;Proximal enterocytes: 60.5"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in single"			"Low lineage specificity"	"Detected in single"			"Low cancer specificity"	"Detected in many"				"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			HPA074542			Approved	"Nucleoplasm,Primary cilium,Basal body"			NA	NA			"Cluster 21: Neutrophils - Unknown function"	"Cluster 80: Non-specific - Endocytosis"	"Cluster 37: Neurons - Mixed function"	"Cluster 11: Neuronal - Sensory perception"	"Cluster 22: Proximal enterocytes - Digestion"	1	"Nucleoplasm, Primary cilium"	"Basal body"	"HPA074542: "	"unprognostic (8.04e-3)"	"unprognostic (2.14e-2)"	"unprognostic (1.72e-1)"	"unprognostic (7.42e-2)"	"unprognostic (3.98e-3)"	"unprognostic (2.53e-2)"	"unprognostic (6.80e-2)"				"unprognostic (3.71e-4)"	"unprognostic (2.25e-2)"	"unprognostic (1.31e-1)"			"unprognostic (6.50e-4)"				"unprognostic (2.22e-2)"		"unprognostic (3.87e-1)"			"unprognostic (3.76e-2)"	"unprognostic (3.65e-4)"	"unprognostic (3.95e-1)"	"unprognostic (9.30e-2)"	"unprognostic (2.14e-1)"	"unprognostic (7.58e-3)"	"unprognostic (8.25e-2)"
SMIM18		ENSG00000253457	"Small integral membrane protein 18"	P0DKX4	8	30638580-30646064	"Predicted intracellular proteins, Predicted membrane proteins"				"Evidence at protein level"	"Evidence at protein level"	"No human protein/transcript evidence"	"Evidence at transcript level"	"Group enriched"	"Detected in some"	6	"brain: 8.8;pituitary gland: 5.2;retina: 3.6"	"Cell type enhanced"	"Detected in some"		"Bipolar cells: 9.3;Excitatory neurons: 2.8;Horizontal cells: 7.6;Inhibitory neurons: 5.0;Microglial cells: 4.5;Oligodendrocyte precursor cells: 5.2;Proximal tubular cells: 3.5"	"Low cell type specificity"	"Detected in many"			"Cancer enriched"	"Detected in single"	5	"Glioblastoma Multiforme (TCGA): 3.0"	"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Cancer enriched"	"Detected in some"	5	"Neuroblastoma: 5.6"	"Adrenal gland - Adrenal medulla cells, Colon - Colon enteroendocrine cells, Kidney - Proximal tubular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA066648	Supported		Uncertain	Nucleoplasm,Centrosome			NA	NA			"Cluster 20: Non-specific - DNA binding"	"Cluster 28: Neuronal - Transcription"	"Cluster 1: Neurons - Mixed function"	"Cluster 11: Neuronal - Sensory perception"	"Cluster 25: Bipolar cells - Visual perception"		Nucleoplasm	Centrosome	"HPA066648: AB_2685697"						"unprognostic (9.47e-2)"	"unprognostic (8.90e-2)"	"unprognostic (2.82e-4)"																							
TBXT	T	ENSG00000164458	"T-box transcription factor T"	O15178	6	166157656-166168700	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Activator, Developmental protein, DNA-binding"	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	6	"parathyroid gland: 2.5;pituitary gland: 1.3"	"Cell type enriched"	"Detected in single"	5	"Oocytes: 2.2"	"Not detected"	"Not detected"			"Cancer enriched"	"Detected in single"	11	"Testicular Germ Cell Tumor (TCGA): 7.6"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	6	"Leukemia: 2.4;lung cancer: 8.2;lymphoma: 6.1"	"Pituitary gland - Somatotropes"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA003322	Uncertain		Supported	Nucleoplasm			NA	NA			"Cluster 15: NK-cells - Unknown function"	"Cluster 24: Parathyroid gland - Vesicular transport"		"Cluster 7: Liver cancer - Metabolism"	"Cluster 53: Fibroblasts - ECM organization"	7	Nucleoplasm		"HPA003322: AB_1080176"																													"unprognostic (3.15e-2)"		
UGT2A1		ENSG00000173610	"UDP glucuronosyltransferase family 2 member A1 complex locus"	P0DTE4	4	69588417-69653249	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Lipid metabolism, Olfaction, Sensory transduction"	"Glycosyltransferase, Transferase"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	6	"choroid plexus: 6.6;kidney: 2.2;liver: 3.5;pituitary gland: 5.4"	"Cell type enhanced"	"Detected in some"		"Club cells: 1.1;Collecting duct cells: 1.9;Proximal tubular cells: 4.9"	"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Lung Squamous Cell Carcinoma (TCGA): 3.9"	"Region enriched"	"Detected in single"	15	"choroid plexus: 7.6"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	6	"lung cancer: 1.0;Myeloma: 1.4"	"Kidney - Proximal tubular cells, Pituitary gland - Gonadotropes, Skin - Sebaceous gland cells"	"Not detected"	"Not detected"							"HPA017261, HPA045108"	Uncertain						NA	NA				"Cluster 60: Choroid plexus - Transmembrane transport"	"Cluster 36: Choroid plexus - Mixed function"	"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 56: Proximal tubular cells - Amino acid metabolism"				"HPA017261: AB_10963582, HPA045108: AB_2679218"			"unprognostic (1.98e-1)"	"unprognostic (3.51e-4)"											"unprognostic (3.13e-2)"			"unprognostic (1.00e-1)"	"unprognostic (5.80e-2)"												
ABCC8	"ABC36, HHF1, HI, HRINS, MRP8, PHHI, SUR, SUR1, TNDM2"	ENSG00000006071	"ATP binding cassette subfamily C member 8"	Q09428	11	17392498-17476894	"Disease related genes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted membrane proteins, Transporters"	Transport	Receptor	"Diabetes mellitus, Disease variant, FDA approved drug targets"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	5	"brain: 42.2;pancreas: 19.5;pituitary gland: 33.4"	"Cell type enhanced"	"Detected in some"		"Astrocytes: 18.6;Bipolar cells: 47.0;Endometrial stromal cells: 16.4;Enteroendocrine cells: 16.5;Excitatory neurons: 46.6;Horizontal cells: 18.9;Inhibitory neurons: 37.6;Oligodendrocyte precursor cells: 36.8;Pancreatic endocrine cells: 30.6"	"Low cell type specificity"	"Detected in many"			"Cancer enriched"	"Detected in some"	7	"Pancreatic Adenocarcinoma (TCGA): 19.8"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in single"	9	"thyroid cancer: 3.4"	"Adrenal gland - Adrenal medulla cells, Heart muscle - Cardiomyocytes, Pancreas - Alpha cells, Pancreas - Beta cells, Pituitary gland - Corticotropes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB011451, HPA042318"	Approved		Approved	"Nucleoli,Golgi apparatus,Cytosol,Principal piece"			No	NA				"Cluster 65: Cerebellum - Nervous system development"	"Cluster 24: Neurons - Mixed function"	"Cluster 16: Thyroid cancer - Neuronal signaling"	"Cluster 25: Bipolar cells - Visual perception"		"Nucleoli, Golgi apparatus"	"Cytosol, Principal piece"	"CAB011451: , HPA042318: AB_2677947"		"unprognostic (3.20e-1)"	"unprognostic (2.07e-2)"				"unprognostic (2.19e-2)"															"unprognostic (1.85e-2)"	"unprognostic (1.41e-2)"	"unprognostic (4.63e-2)"						"unprognostic (3.84e-2)"	
AMPH		ENSG00000078053	Amphiphysin	P49418	7	38383704-38631420	"Cancer-related genes, Predicted intracellular proteins"			"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	5	"brain: 52.3;pituitary gland: 20.7;retina: 63.9"	"Cell type enhanced"	"Detected in many"		"Bipolar cells: 56.3;Cone photoreceptor cells: 69.7;Excitatory neurons: 220.5;Inhibitory neurons: 190.4;Oligodendrocyte precursor cells: 90.6;Rod photoreceptor cells: 52.8"	"Low cell type specificity"	"Detected in all"			"Cancer enhanced"	"Detected in many"		"Glioblastoma Multiforme (TCGA): 8.9"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Brain cancer: 16.7"	"Liver - Hepatic stellate cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB008559, HPA019828, HPA019829"	Enhanced		Supported	"Plasma membrane,Cytosol"			NA	NA				"Cluster 28: Neuronal - Transcription"	"Cluster 52: Neurons & Synapses - Synaptic function"	"Cluster 72: Neuronal - Signal transduction"	"Cluster 65: Neurons - Synaptic function"	31	Cytosol	"Plasma membrane"	"CAB008559: AB_1611845, HPA019828: AB_1844801, HPA019829: AB_1844802"		"unprognostic (1.28e-2)"	"unprognostic (2.70e-1)"			"unprognostic (1.68e-1)"	"unprognostic (2.78e-2)"	"unprognostic (4.95e-4)"								"unprognostic (1.48e-1)"	"unprognostic (8.50e-2)"		"unprognostic (4.78e-2)"	"unprognostic (5.25e-2)"		"unprognostic (2.93e-3)"				"unprognostic (1.47e-1)"	"unprognostic (4.41e-2)"	"unprognostic (1.09e-2)"	"unprognostic (7.96e-2)"		
CERCAM	"CEECAM1, GLT25D3"	ENSG00000167123	"Cerebral endothelial cell adhesion molecule"	Q5T4B2	9	128411751-128437351	"Predicted intracellular proteins"	"Cell adhesion"			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	5	"brain: 356.7;pituitary gland: 101.9"	"Cell type enriched"	"Detected in many"	8	"Oligodendrocytes: 583.6"	"Group enriched"	"Detected in all"	13	"committed oligodendrocyte precursor: 350.6;oligodendrocyte: 743.3"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in some"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Adipose progenitor cells, Adipose visceral - Adipose progenitor cells, Heart muscle - Fibroblasts, Kidney - Fibroblasts, Liver - Hepatic stellate cells, Lung - Fibroblast_2, Prostate - Fibroblasts, Skeletal muscle - Fibroblasts, Stomach - Fibroblasts, Thyroid gland - Fibroblasts"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA021657, HPA051595"	Uncertain		Approved	"Nucleoplasm,Nucleoli,Cell Junctions"	"Intracellular and membrane"	"Cell adhesion"	NA	NA			"Cluster 30: Non-specific - DNA binding"	"Cluster 9: Oligodendrocytes - Myelination"	"Cluster 11: White matter - Signal transduction"	"Cluster 64: Connective tissue cells - ECM organization"	"Cluster 51: Oligodendrocytes - Unknown function"	65	"Nucleoplasm, Nucleoli"	"Cell Junctions"	"HPA021657: AB_1846507, HPA051595: AB_2681545"	"unprognostic (2.87e-1)"	"unprognostic (3.36e-2)"	"unprognostic (4.53e-2)"	"unprognostic (2.75e-6)"	"unprognostic (1.80e-3)"	"unprognostic (9.54e-2)"	"unprognostic (5.38e-4)"	"unprognostic (5.50e-3)"	"unprognostic (1.12e-2)"	"unprognostic (8.86e-2)"	"unprognostic (3.18e-10)"	"unprognostic (3.92e-4)"	"unprognostic (4.89e-4)"	"unprognostic (1.05e-3)"	"unprognostic (2.20e-1)"	"unprognostic (6.55e-2)"	"unprognostic (3.32e-3)"	"unprognostic (1.09e-1)"	"unprognostic (3.35e-1)"	"unprognostic (1.72e-3)"	"unprognostic (1.63e-4)"	"unprognostic (9.68e-2)"	"unprognostic (2.53e-1)"	"unprognostic (1.03e-1)"	"unprognostic (1.64e-2)"	"unprognostic (3.66e-2)"	"unprognostic (2.31e-1)"	"unprognostic (1.33e-2)"	"unprognostic (1.22e-1)"	"unprognostic (7.06e-4)"	"unprognostic (7.53e-2)"
COL9A2	"EDM2, MED"	ENSG00000049089	"Collagen type IX alpha 2 chain"	Q14055	1	40300489-40317813	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"			"Deafness, Disease variant, Dwarfism, Stickler syndrome"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	5	"brain: 127.9;pituitary gland: 105.2"	"Cell type enhanced"	"Detected in many"		"Muller glia cells: 256.2;Oligodendrocyte precursor cells: 58.5;Oligodendrocytes: 119.2"	"Cell type enhanced"	"Detected in many"		"committed oligodendrocyte precursor: 150.7;oligodendrocyte: 139.3;oligodendrocyte precursor cell: 140.2"	"Cancer enhanced"	"Detected in all"		"Prostate Adenocarcinoma (TCGA): 117.2"	"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in some"	4	"eosinophil: 3.2;myeloid DC: 1.2"	"Group enriched"	"Detected in many"	6	"dendritic cells: 1.2;granulocytes: 3.2"	"Low cancer specificity"	"Detected in many"			"Skin - Outer root sheath cells"	"Low region specificity"	"Detected in all"							"HPA056316, HPA075286"	Supported		Approved	Vesicles	"Secreted to extracellular matrix"	"No annotated function"	NA	NA		250000	"Cluster 22: Eosinophils - Transcription"	"Cluster 9: Oligodendrocytes - Myelination"	"Cluster 6: Non-specific - Immune response"	"Cluster 11: Neuronal - Sensory perception"	"Cluster 10: Muller glia cells - Visual perception"	4	Vesicles		"HPA056316: AB_2683099, HPA075286: AB_2732288"	"unprognostic (1.76e-2)"	"unprognostic (1.01e-2)"	"unprognostic (6.86e-2)"	"unprognostic (1.63e-1)"	"unprognostic (7.11e-2)"	"unprognostic (5.15e-2)"	"unprognostic (1.68e-1)"	"unprognostic (2.16e-1)"	"unprognostic (3.57e-3)"	"unprognostic (3.81e-1)"	"unprognostic (1.96e-4)"	"unprognostic (4.20e-2)"	"unprognostic (1.59e-1)"	"unprognostic (3.44e-2)"	"unprognostic (1.52e-1)"	"unprognostic (1.46e-2)"	"unprognostic (3.02e-2)"	"unprognostic (7.26e-2)"	"unprognostic (1.30e-1)"	"unprognostic (1.81e-1)"	"unprognostic (1.18e-2)"	"unprognostic (4.08e-3)"	"unprognostic (1.67e-1)"	"unprognostic (3.33e-1)"	"unprognostic (3.68e-1)"	"unprognostic (6.05e-2)"	"unprognostic (3.21e-1)"	"unprognostic (2.67e-2)"	"unprognostic (1.78e-1)"	"unprognostic (4.99e-2)"	"unprognostic (3.53e-1)"
DRD2		ENSG00000149295	"Dopamine receptor D2"	P14416	11	113409605-113475691	"FDA approved drug targets, G-protein coupled receptors, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Transporters"		"G-protein coupled receptor, Receptor, Transducer"	"Disease variant, FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	5	"brain: 65.2;pituitary gland: 58.0"	"Group enriched"	"Detected in some"	4	"Bipolar cells: 7.3;Horizontal cells: 15.7"	"Cell type enriched"	"Detected in many"	9	"medium spiny neuron: 148.7"	"Low cancer specificity"	"Detected in some"			"Region enhanced"	"Detected in many"		"basal ganglia: 163.5"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Neuroblastoma: 7.6"	"Adrenal gland - Adrenal medulla cells, Pituitary gland - Lactotropes, Testis - Early spermatids, Testis - Late spermatids"	"Region enriched"	"Detected in many"	10	"basal ganglia: 205.4"	"Region enriched"	"Detected in many"	4	"basal ganglia: 192.0"	"HPA015139, HPA015691"	Supported	Supported					NA	NA				"Cluster 49: Pituitary gland - Hormone signaling"	"Cluster 33: Neurons - Mixed function"	"Cluster 24: Non-specific - Unknown function"	"Cluster 71: Horizontal & Bipolar cells - Neuronal signaling"	17			"HPA015139: , HPA015691: AB_1847834"			"unprognostic (3.30e-1)"		"unprognostic (2.17e-1)"	"unprognostic (6.98e-2)"	"unprognostic (6.47e-2)"			"unprognostic (4.03e-2)"										"unprognostic (1.41e-1)"	"unprognostic (3.72e-1)"				"unprognostic (1.36e-1)"	"unprognostic (1.37e-1)"					
ECEL1	"DINE, XCE"	ENSG00000171551	"Endothelin converting enzyme like 1"	O95672	2	232479827-232487834	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"		"Hydrolase, Metalloprotease, Protease"	"Disease variant"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	5	"brain: 83.5;ovary: 96.6;pituitary gland: 26.9"	"Cell type enhanced"	"Detected in some"		"Bipolar cells: 31.1;Muller glia cells: 92.0;Ovarian stromal cells: 9.7;Peritubular cells: 20.3"	"Cell type enriched"	"Detected in many"	5	"splatter: 16.1"	"Cancer enhanced"	"Detected in many"		"Uterine Corpus Endometrial Carcinoma (TCGA): 23.4"	"Region enhanced"	"Detected in all"		"hypothalamus: 235.2"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"head and neck cancer: 13.8"		"Region enhanced"	"Detected in many"		"hypothalamus: 70.7"	"Low region specificity"	"Detected in many"			"HPA067560, HPA069756, HPA077424"	Approved	Supported	Uncertain	"Nucleoplasm,Nuclear membrane,Nucleoli"			NA	NA				"Cluster 64: Neuronal - Transcription"	"Cluster 56: Hypothalamus - Neuropeptide signaling"	"Cluster 65: Non-specific - Unknown function"	"Cluster 25: Bipolar cells - Visual perception"	54	Nucleoplasm	"Nuclear membrane, Nucleoli"	"HPA067560: , HPA069756: , HPA077424: "	"unprognostic (2.87e-2)"	"unprognostic (2.24e-2)"	"unprognostic (1.61e-2)"	"unprognostic (4.31e-3)"			"unprognostic (3.37e-1)"		"unprognostic (1.34e-3)"					"unprognostic (6.52e-3)"		"unprognostic (1.41e-1)"		"unprognostic (3.69e-2)"	"unprognostic (2.83e-2)"	"unprognostic (2.56e-1)"	"unprognostic (1.55e-1)"	"unprognostic (2.59e-1)"						"unprognostic (3.43e-2)"	"unprognostic (1.73e-1)"	"unprognostic (2.10e-1)"	"unprognostic (1.38e-1)"
FBXO2	"Fbg1, Fbs1, FBX2, Nfb42, OCP1"	ENSG00000116661	"F-box protein 2"	Q9UK22	1	11637018-11655785	"Predicted intracellular proteins"	"Ubl conjugation pathway"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	5	"brain: 296.0;choroid plexus: 92.9;pancreas: 84.4;pituitary gland: 115.2"	"Cell type enhanced"	"Detected in many"		"Basal respiratory cells: 140.8;Exocrine glandular cells: 355.1;Hepatocytes: 113.3;Pancreatic endocrine cells: 115.5"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in some"			"Low lineage specificity"	"Detected in single"			"Cancer enhanced"	"Detected in many"		"cervical cancer: 82.5"	"Adipose visceral - Mesothelial cells, Colon - Colon enteroendocrine cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA005472	Enhanced		Approved	Nucleoplasm,Cytosol			NA	NA			"Cluster 24: Non-specific - Transcription"	"Cluster 9: Oligodendrocytes - Myelination"	"Cluster 19: Astrocytes - Mixed function"	"Cluster 72: Neuronal - Signal transduction"	"Cluster 45: Non-specific - Mixed function"	171	"Nucleoplasm, Cytosol"		"HPA005472: AB_2667332"	"unprognostic (2.65e-2)"	"unprognostic (4.60e-2)"	"unprognostic (4.33e-2)"	"unprognostic (1.68e-1)"	"unprognostic (1.82e-1)"	"unprognostic (1.71e-5)"	"unprognostic (1.43e-1)"	"unprognostic (9.00e-2)"	"unprognostic (5.72e-2)"	"unprognostic (4.48e-1)"	"unprognostic (2.58e-2)"	"unprognostic (3.87e-2)"	"unprognostic (6.17e-3)"	"unprognostic (6.15e-2)"	"unprognostic (1.29e-2)"	"unprognostic (1.09e-1)"	"unprognostic (3.18e-2)"	"unprognostic (1.62e-3)"	"unprognostic (1.60e-2)"	"unprognostic (3.62e-1)"	"unprognostic (6.07e-2)"	"unprognostic (2.16e-2)"	"unprognostic (5.47e-2)"	"unprognostic (1.51e-2)"	"unprognostic (2.72e-1)"	"unprognostic (2.29e-2)"	"unprognostic (2.53e-3)"	"unprognostic (5.92e-2)"	"unprognostic (1.77e-1)"	"unprognostic (4.18e-2)"	"unprognostic (3.32e-2)"
