Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
GBA3	"CBGL1, GLUC, KLrP"	ENSG00000249948	"Glucosylceramidase beta 3 (gene/pseudogene)"		4	22692914-22819575	"Metabolic proteins, Predicted intracellular proteins"				"Evidence at transcript level"	"Evidence at transcript level"			"Group enriched"	"Detected in some"	16	"intestine: 166.7;kidney: 172.4;liver: 218.9"	"Group enriched"	"Detected in many"	4	"Proximal enterocytes: 424.4;Proximal tubular cells: 281.4"	"Cell type enhanced"	"Detected in many"		"cerebellar inhibitory: 11.3"					"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"liver cancer: 1.1;lymphoma: 1.6"	"Colon - Colon enterocytes, Kidney - Proximal tubular cells, Liver - Hepatocytes, Lung - Alveolar cells type 1, Minor Salivary Gland - Plasma cells"					"Low region specificity"	"Detected in all"										NA	NA						"Cluster 59: Leukemia - T-cell receptor"	"Cluster 22: Proximal enterocytes - Digestion"																																			
HAO2	"GIG16, HAOX2"	ENSG00000116882	"Hydroxyacid oxidase 2"	Q9NYQ3	1	119368779-119394130	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Fatty acid metabolism, Lipid metabolism"	Oxidoreductase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	15	"kidney: 292.3;liver: 412.4"	"Group enriched"	"Detected in some"	12	"Hepatocytes: 276.9;Proximal tubular cells: 387.9"	"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	19	"Kidney Renal Clear Cell Carcinoma (TCGA): 19.1;Kidney Renal Papillary Cell Carcinoma (TCGA): 16.4;Liver Hepatocellular Carcinoma (TCGA): 31.3"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Kidney - Proximal tubular cells, Liver - Hepatocytes, Skin - Sebaceous gland cells"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			HPA050355			Approved	Vesicles,Cytosol			NA	NA				"Cluster 1: Liver & Kidney - Metabolism"	"Cluster 53: Neurons - Mixed function"	"Cluster 32: Non-specific - Cell proliferation"	"Cluster 56: Proximal tubular cells - Amino acid metabolism"	1	"Vesicles, Cytosol"		"HPA050355: "		"unprognostic (1.97e-1)"	"unprognostic (6.47e-2)"								"unprognostic (5.55e-9)"	"unprognostic (3.01e-6)"	"unprognostic (1.75e-4)"	"unprognostic (2.68e-2)"	"unprognostic (2.07e-5)"																
UPP2	"UDRPASE2, UP2, UPASE2"	ENSG00000007001	"Uridine phosphorylase 2"	O95045	2	157876702-158136154	"Enzymes, Metabolic proteins, Predicted intracellular proteins"		"Glycosyltransferase, Transferase"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	15	"kidney: 44.1;liver: 23.1"	"Group enriched"	"Detected in some"	4	"Astrocytes: 22.9;Excitatory neurons: 31.4;Inhibitory neurons: 19.9;Oligodendrocyte precursor cells: 25.9;Proximal tubular cells: 69.8"	"Low cell type specificity"	"Detected in all"			"Cancer enriched"	"Detected in some"	4	"Liver Hepatocellular Carcinoma (TCGA): 4.5"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Kidney - Proximal tubular cells, Minor Salivary Gland - Minor salivary glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in many"			"HPA035225, HPA035226"			Approved	Nucleoplasm,Vesicles,Mitochondria			NA	NA				"Cluster 1: Liver & Kidney - Metabolism"	"Cluster 51: Neurons - Mixed function"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 56: Proximal tubular cells - Amino acid metabolism"	3	Nucleoplasm	"Vesicles, Mitochondria"	"HPA035225: AB_10604002, HPA035226: AB_10696503"			"unprognostic (7.39e-2)"									"unprognostic (2.23e-2)"	"unprognostic (2.07e-2)"	"unprognostic (5.97e-2)"	"unprognostic (2.43e-3)"																
ERICH4	"C19orf69, LOC100170765"	ENSG00000204978	"Glutamate rich 4"	A6NGS2	19	41443156-41444765	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	14	"intestine: 41.3;kidney: 15.9"	"Group enriched"	"Detected in some"	26	"Proximal enterocytes: 184.4;Proximal tubular cells: 69.7"	"Cell type enriched"	"Detected in single"	31	"endothelial cell: 5.9"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Kidney - Proximal tubular cells"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"HPA042632, HPA048484"	Uncertain		Approved	Nucleoplasm,Cytosol			NA	NA				"Cluster 55: Kidney & Intestine - Metabolism"	"Cluster 47: Endothelial cells - Vasculature"	"Cluster 57: Stomach & Colon cancer - Digestion"	"Cluster 22: Proximal enterocytes - Digestion"	2	Nucleoplasm	Cytosol	"HPA042632: AB_2678090, HPA048484: AB_2680415"																															
GLYAT	"ACGNAT, GAT"	ENSG00000149124	Glycine-N-acyltransferase	Q6IB77	11	58640426-58731974	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	Detoxification	"Acyltransferase, Transferase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	14	"kidney: 550.4;liver: 676.1"	"Group enriched"	"Detected in some"	9	"Hepatocytes: 453.8;Proximal tubular cells: 1018.6"	"Low cell type specificity"	"Detected in many"			"Group enriched"	"Detected in some"	160	"Kidney Renal Clear Cell Carcinoma (TCGA): 66.8;Kidney Renal Papillary Cell Carcinoma (TCGA): 124.9;Liver Hepatocellular Carcinoma (TCGA): 65.1"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Breast - Adipocytes (Breast), Kidney - Proximal tubular cells, Liver - Hepatocytes, Skin - Adipocytes (Skin), Testis - Late spermatids"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"HPA040251, HPA044094"	Enhanced						NA	NA		11000		"Cluster 1: Liver & Kidney - Metabolism"		"Cluster 69: Skin cancer - ECM organization"	"Cluster 56: Proximal tubular cells - Amino acid metabolism"	2			"HPA040251: AB_2676902, HPA044094: AB_2678807"			"unprognostic (5.67e-2)"								"unprognostic (2.89e-9)"	"unprognostic (4.43e-3)"	"unprognostic (1.94e-6)"	"unprognostic (3.32e-3)"	"unprognostic (1.47e-6)"																
GATM	AGAT	ENSG00000171766	"Glycine amidinotransferase"	P50440	15	45361124-45402327	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"		Transferase	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in all"	13	"kidney: 2023.4;liver: 2717.9;pancreas: 2843.6"	"Group enriched"	"Detected in many"	6	"Granulosa cells: 701.1;Hepatocytes: 1466.3;Proximal tubular cells: 2758.8"	"Cell type enhanced"	"Detected in all"		"oligodendrocyte: 227.1"	"Cancer enhanced"	"Detected in all"		"Liver Hepatocellular Carcinoma (TCGA): 418.2"	"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in many"	5	"memory B-cell: 11.1;myeloid DC: 6.6;naive B-cell: 5.4;plasmacytoid DC: 6.8"	"Group enriched"	"Detected in many"	5	"B-cells: 11.1;dendritic cells: 6.8"	"Cancer enriched"	"Detected in all"	4	"Rhabdoid: 180.4"	"Colon - Enteric glia cells, Kidney - Proximal tubular cells, Liver - Hepatocytes, Skin - Keratinocyte (other), Testis - Sertoli cells, Thyroid gland - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA026077	Enhanced		Supported	Mitochondria			NA	NA		450000	"Cluster 23: B-cells - Immunoglobulins"	"Cluster 68: Non-specific - Protein processing"	"Cluster 28: Oligodendrocytes - Mixed function"	"Cluster 5: Rhabdoid - Unknown function"	"Cluster 56: Proximal tubular cells - Amino acid metabolism"	10	Mitochondria		"HPA026077: AB_1849528"	"unprognostic (5.00e-2)"	"unprognostic (5.75e-2)"	"unprognostic (1.94e-1)"	"unprognostic (1.15e-1)"	"unprognostic (9.22e-2)"	"unprognostic (2.17e-1)"	"unprognostic (2.04e-1)"	"unprognostic (4.45e-2)"	"unprognostic (6.46e-2)"	"unprognostic (1.52e-1)"	"unprognostic (8.32e-11)"	"unprognostic (3.22e-6)"	"unprognostic (2.67e-3)"	"unprognostic (1.65e-2)"	"unprognostic (2.54e-2)"	"unprognostic (1.12e-1)"	"unprognostic (2.53e-1)"	"unprognostic (1.35e-1)"	"unprognostic (9.64e-2)"	"unprognostic (7.15e-2)"	"unprognostic (8.88e-2)"	"unprognostic (8.63e-2)"	"unprognostic (9.84e-4)"	"unprognostic (1.02e-1)"	"unprognostic (2.29e-1)"	"unprognostic (3.29e-2)"	"unprognostic (4.13e-2)"	"unprognostic (1.72e-1)"	"unprognostic (2.48e-1)"	"unprognostic (2.87e-2)"	"unprognostic (3.98e-2)"
PIPOX	LPIPOX	ENSG00000179761	"Pipecolic acid and sarcosine oxidase"	Q9P0Z9	17	28950513-29057216	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"		Oxidoreductase		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	13	"kidney: 140.6;liver: 491.1"	"Group enriched"	"Detected in some"	8	"Hepatocytes: 224.2;Proximal tubular cells: 142.8"	"Cell type enhanced"	"Detected in all"		"astrocyte: 51.8;bergmann glia: 57.2"	"Cancer enriched"	"Detected in many"	4	"Liver Hepatocellular Carcinoma (TCGA): 141.4"	"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in some"		"myeloid DC: 1.8"	"Low lineage specificity"	"Detected in many"			"Cancer enhanced"	"Detected in many"		"Brain cancer: 12.2;Sarcoma: 11.1"	"Kidney - Proximal tubular cells, Liver - Hepatocytes, Pituitary gland - Thyrotropes"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"										NA	NA		230000		"Cluster 1: Liver & Kidney - Metabolism"	"Cluster 19: Astrocytes - Mixed function"	"Cluster 72: Neuronal - Signal transduction"	"Cluster 56: Proximal tubular cells - Amino acid metabolism"	4						"unprognostic (1.82e-1)"	"unprognostic (3.50e-3)"	"unprognostic (1.67e-1)"	"unprognostic (6.48e-3)"	"unprognostic (7.98e-2)"	"unprognostic (5.72e-4)"	"unprognostic (4.70e-2)"		"unprognostic (1.65e-3)"	"unprognostic (4.65e-1)"	"unprognostic (4.45e-2)"	"unprognostic (3.71e-3)"	"unprognostic (1.77e-2)"	"unprognostic (5.38e-3)"	"unprognostic (1.24e-1)"	"unprognostic (3.73e-1)"	"unprognostic (1.73e-1)"	"unprognostic (4.11e-1)"	"unprognostic (8.46e-2)"	"unprognostic (1.50e-4)"			"unprognostic (2.27e-1)"	"unprognostic (1.04e-2)"		"unprognostic (5.69e-3)"	"unprognostic (3.45e-1)"		"unprognostic (1.19e-1)"
ZNF511-PRAP1		ENSG00000283496	"ZNF511-PRAP1 readthrough"		10	133309410-133352529	"Predicted membrane proteins"				"Evidence at protein level"	"Evidence at protein level"			"Group enriched"	"Detected in some"	13	"intestine: 9.0;kidney: 8.2;liver: 29.6"	"Not detected"	"Not detected"			"Low cell type specificity"	"Detected in many"			"Cancer enhanced"	"Detected in many"		"Colon Adenocarcinoma (TCGA): 8.4;Rectum Adenocarcinoma (TCGA): 9.2"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"												"HPA035360, HPA038713, HPA052451"	Supported		Uncertain	"Nucleoplasm,Nuclear bodies,Vesicles"			NA	NA				"Cluster 1: Liver & Kidney - Metabolism"		"Cluster 10: Ciliated cells - Ion channel activity"			"Nuclear bodies"	"Nucleoplasm, Vesicles"	"HPA035360: AB_10601931, HPA038713: AB_10673117, HPA052451: AB_2681839"					"unprognostic (1.29e-1)"	"unprognostic (1.48e-1)"					"unprognostic (4.71e-4)"		"unprognostic (5.65e-3)"	"unprognostic (1.33e-1)"								"unprognostic (2.10e-3)"			"unprognostic (3.81e-1)"	"unprognostic (4.23e-1)"			"unprognostic (1.57e-1)"		"unprognostic (8.40e-2)"
DUSP9	"MKP-4, MKP4"	ENSG00000130829	"Dual specificity phosphatase 9"	Q99956	X	153642492-153651326	"Enzymes, Predicted intracellular proteins"		"Hydrolase, Protein phosphatase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	12	"kidney: 55.4;placenta: 70.2"	"Group enriched"	"Detected in some"	20	"Cytotrophoblasts: 1119.9;Distal tubular cells: 418.0;Syncytiotrophoblasts: 1527.5"	"Cell type enhanced"	"Detected in many"		"hippocampal dentate gyrus: 11.1"	"Cancer enhanced"	"Detected in many"		"Liver Hepatocellular Carcinoma (TCGA): 13.1"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in many"	4	"Gastric cancer: 21.2;liver cancer: 62.7"	"Kidney - Ascending Loop of Henle cells, Testis - Spermatogonia"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			HPA003336	Enhanced		Approved	"Endoplasmic reticulum"			NA	NA				"Cluster 58: Placenta - Pregnancy"	"Cluster 51: Neurons - Mixed function"	"Cluster 18: Liver cancer - Metabolism"	"Cluster 24: Cytotrophoblasts - Mitochondria"	19	"Endoplasmic reticulum"		"HPA003336: AB_1078709"	"unprognostic (7.10e-2)"		"unprognostic (2.43e-2)"	"unprognostic (4.09e-2)"					"unprognostic (4.23e-3)"	"unprognostic (5.97e-2)"		"unprognostic (8.71e-3)"	"unprognostic (1.64e-2)"	"unprognostic (1.39e-2)"	"unprognostic (2.75e-3)"	"unprognostic (2.00e-2)"		"unprognostic (7.45e-2)"	"unprognostic (9.09e-4)"	"unprognostic (2.45e-1)"	"unprognostic (1.65e-1)"						"unprognostic (2.13e-1)"	"unprognostic (7.69e-2)"	"unprognostic (1.94e-1)"		"unprognostic (3.86e-3)"
KHK		ENSG00000138030	Ketohexokinase	P50053	2	27086772-27100762	"Disease related genes, Enzymes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Carbohydrate metabolism"	"Kinase, Transferase"	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	12	"intestine: 122.9;kidney: 104.7;liver: 179.8"	"Cell type enhanced"	"Detected in many"		"Hepatocytes: 387.6;Proximal enterocytes: 1881.3;Proximal tubular cells: 741.7"	"Cell type enhanced"	"Detected in many"		"cerebellar inhibitory: 26.7"	"Group enriched"	"Detected in all"	6	"Kidney Renal Clear Cell Carcinoma (TCGA): 74.8;Kidney Renal Papillary Cell Carcinoma (TCGA): 20.4;Liver Hepatocellular Carcinoma (TCGA): 79.4"	"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in many"			"Adrenal gland - Adrenal cortex cells, Kidney - Proximal tubular cells, Thyroid gland - Fibroblasts"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA007040	Enhanced		Approved	Vesicles,Cytosol			NA	NA		380000	"Cluster 33: Non-specific - ATP binding"	"Cluster 37: Liver & Intestine - Lipid metabolism"	"Cluster 37: Neurons - Mixed function"	"Cluster 18: Liver cancer - Metabolism"	"Cluster 22: Proximal enterocytes - Digestion"	1	"Vesicles, Cytosol"		"HPA007040: AB_1079185"	"unprognostic (4.65e-2)"	"unprognostic (2.90e-1)"	"unprognostic (1.21e-1)"	"unprognostic (1.69e-1)"	"unprognostic (1.95e-1)"	"unprognostic (1.18e-1)"	"unprognostic (4.73e-2)"	"unprognostic (8.92e-2)"	"unprognostic (6.86e-2)"	"unprognostic (1.08e-1)"	"unprognostic (3.58e-8)"	"unprognostic (8.22e-4)"	"unprognostic (4.80e-2)"	"unprognostic (4.92e-3)"	"unprognostic (3.33e-2)"	"unprognostic (1.22e-1)"	"unprognostic (5.40e-2)"	"unprognostic (2.16e-3)"	"unprognostic (4.25e-2)"	"unprognostic (6.00e-2)"	"unprognostic (1.94e-2)"	"unprognostic (2.39e-1)"	"unprognostic (6.80e-3)"	"unprognostic (1.30e-1)"	"unprognostic (4.66e-2)"	"unprognostic (1.47e-1)"	"unprognostic (8.99e-2)"	"unprognostic (8.36e-3)"	"unprognostic (2.69e-1)"	"unprognostic (8.38e-2)"	"unprognostic (2.30e-1)"
PAH	PH	ENSG00000171759	"Phenylalanine hydroxylase"	P00439	12	102836889-102958410	"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Predicted intracellular proteins"	"Phenylalanine catabolism"	"Allosteric enzyme, Monooxygenase, Oxidoreductase"	"Disease variant, FDA approved drug targets, Phenylketonuria"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	12	"kidney: 478.9;liver: 1365.3"	"Group enriched"	"Detected in some"	5	"Cholangiocytes: 244.2;Hepatocytes: 742.1;Proximal tubular cells: 215.7"	"Cell type enhanced"	"Detected in many"		"midbrain-derived inhibitory: 35.4"	"Cancer enriched"	"Detected in many"	13	"Liver Hepatocellular Carcinoma (TCGA): 276.8"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	7	"liver cancer: 43.8"	"Kidney - Proximal tubular cells, Liver - Hepatocytes, Testis - Early spermatids, Testis - Late spermatids"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"HPA028407, HPA031642"	Enhanced		Approved	"Endoplasmic reticulum,Vesicles"			No	NA		16000		"Cluster 1: Liver & Kidney - Metabolism"	"Cluster 40: Astrocytes - Astrocyte-neuron interactions"	"Cluster 18: Liver cancer - Metabolism"	"Cluster 43: Hepatocytes - Metabolism"	1	"Endoplasmic reticulum, Vesicles"		"HPA028407: AB_10601241, HPA031642: AB_2673974"		"unprognostic (1.80e-1)"	"unprognostic (1.93e-1)"		"unprognostic (5.18e-1)"	"unprognostic (9.60e-2)"				"unprognostic (5.93e-2)"	"unprognostic (3.15e-5)"	"unprognostic (2.19e-3)"	"unprognostic (2.89e-1)"	"unprognostic (1.52e-4)"	"unprognostic (1.33e-3)"	"unprognostic (1.63e-1)"	"unprognostic (7.38e-2)"					"unprognostic (6.40e-4)"	"unprognostic (1.08e-2)"	"unprognostic (1.08e-1)"	"unprognostic (1.63e-1)"	"unprognostic (1.77e-2)"		"unprognostic (3.92e-2)"			
SLC5A10	SGLT5	ENSG00000154025	"Solute carrier family 5 member 10"	A0PJK1	17	18950345-19022595	"Metabolic proteins, Predicted membrane proteins, Transporters"	"Ion transport, Sodium transport, Sugar transport, Transport"			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	12	"kidney: 40.1"	"Group enriched"	"Detected in some"	4	"Late spermatids: 33.3;Proximal tubular cells: 50.4"	"Cell type enhanced"	"Detected in some"		"leukocyte: 2.7"	"Group enriched"	"Detected in some"	9	"Kidney Renal Clear Cell Carcinoma (TCGA): 36.9;Kidney Renal Papillary Cell Carcinoma (TCGA): 16.7"	"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	5	"intermediate monocyte: 1.8;non-classical monocyte: 4.9"	"Lineage enriched"	"Detected in single"	7	"monocytes: 4.9"	"Not detected"	"Not detected"			"Kidney - Proximal tubular cells, Spleen - B-cells (Spleen)"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			HPA052014	Uncertain						NA	NA			"Cluster 40: Monocytes - Innate immune response"	"Cluster 52: Kidney - Transmembrane transport"		"Cluster 9: Skin cancer - Melanin biosynthesis"	"Cluster 56: Proximal tubular cells - Amino acid metabolism"				"HPA052014: AB_2681694"			"unprognostic (4.56e-2)"								"unprognostic (5.40e-7)"	"unprognostic (2.93e-6)"	"unprognostic (5.85e-2)"		"unprognostic (2.26e-1)"												"unprognostic (8.79e-2)"				"unprognostic (1.92e-3)"
SOST	"DAND6, VBCH"	ENSG00000167941	Sclerostin	Q9BQB4	17	43753738-43758791	"Disease related genes, FDA approved drug targets, Human disease related genes, Predicted secreted proteins"	"Wnt signaling pathway"	Heparin-binding	"Disease variant, FDA approved drug targets"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	12	"kidney: 13.0"	"Group enriched"	"Detected in some"	5	"B-cells: 1.6;Cholangiocytes: 1.9;Collecting duct cells: 5.8;Pancreatic endocrine cells: 1.7"	"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	6	"Bladder Urothelial Carcinoma (TCGA): 5.8;Lung Squamous Cell Carcinoma (TCGA): 14.2"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Bladder cancer: 12.3;Rhabdoid: 19.6"		"Group enriched"	"Detected in some"	11	"basal ganglia: 1.7;cerebellum: 1.0"	"Not detected"	"Not detected"								"Secreted to extracellular matrix"	Other	NA	NA		350000		"Cluster 52: Kidney - Transmembrane transport"		"Cluster 7: Liver cancer - Metabolism"	"Cluster 73: B-cells - B-cell function"	17				"unprognostic (1.65e-1)"		"unprognostic (4.10e-2)"						"unprognostic (2.56e-1)"									"unprognostic (4.59e-2)"	"unprognostic (3.46e-1)"												
TMEM213		ENSG00000214128	"Transmembrane protein 213"	A2RRL7	7	138797952-138838101	"Predicted intracellular proteins, Predicted membrane proteins"				"Evidence at protein level"	"Evidence at protein level"	"No human protein/transcript evidence"	"Evidence at transcript level"	"Group enriched"	"Detected in some"	12	"kidney: 73.2;salivary gland: 50.7"	"Cell type enhanced"	"Detected in some"		"Collecting duct cells: 48.6;Distal tubular cells: 162.9;Salivary duct cells: 56.5;Serous glandular cells: 35.1"	"Cell type enhanced"	"Detected in many"		"hippocampal dentate gyrus: 8.3"	"Cancer enriched"	"Detected in many"	34	"Kidney Chromophobe (TCGA): 323.3"	"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in some"		"basophil: 2.1;NK-cell: 1.9"	"Group enriched"	"Detected in many"	5	"granulocytes: 2.1;NK-cells: 1.9"	"Group enriched"	"Detected in some"	4	"Gastric cancer: 1.2;Sarcoma: 1.4"	"Breast - Breast glandular cells (progenitors), Kidney - Intercalated cells, Minor Salivary Gland - Minor salivary gland ductal cells, Skin - Eccrine sweat gland cells"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			HPA054059	Enhanced						NA	NA			"Cluster 20: Non-specific - DNA binding"	"Cluster 52: Kidney - Transmembrane transport"	"Cluster 48: Non-specific - Mixed function"	"Cluster 57: Stomach & Colon cancer - Digestion"	"Cluster 75: Serous glandular cells - Salivary secretion"				"HPA054059: AB_2682361"	"unprognostic (4.15e-2)"	"unprognostic (1.50e-2)"	"unprognostic (8.24e-2)"	"unprognostic (8.23e-2)"		"unprognostic (4.40e-3)"				"unprognostic (2.41e-1)"	"unprognostic (6.42e-2)"		"unprognostic (2.09e-2)"			"unprognostic (2.93e-3)"	"unprognostic (1.00e-2)"							"unprognostic (3.54e-2)"		"unprognostic (1.58e-1)"			"unprognostic (1.24e-1)"		"unprognostic (6.42e-2)"
