Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
CALCA	"CALC1, CGRP, CGRP-alpha"	ENSG00000110680	"Calcitonin related polypeptide alpha"	"P01258, P06881"	11	14966622-14972354	"Cancer-related genes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins, Transporters"		Hormone	"Cancer-related genes, FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"parathyroid gland: 172.4;thyroid gland: 149.5"	"Cell type enriched"	"Detected in some"	15	"Ionocytes: 371.5"	"Cell type enriched"	"Detected in single"	13	"thalamic excitatory: 5.3"	"Cancer enriched"	"Detected in many"	4	"Lung Adenocarcinoma (TCGA): 355.5"	"Region enhanced"	"Detected in many"		"pons: 79.4"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in many"	13	"thyroid cancer: 2800.5"	"Colon - Colon enteroendocrine cells, Thyroid gland - Parafollicular cells"	"Region enriched"	"Detected in all"	5	"pons and medulla: 58.0"					"HPA059886, HPA064453"	Enhanced	Supported			"Secreted to blood"	Hormone	NA	NA	49600	150000		"Cluster 24: Parathyroid gland - Vesicular transport"	"Cluster 43: Hindbrain - Mixed function"	"Cluster 16: Thyroid cancer - Neuronal signaling"	"Cluster 35: Respiratory epithelial cells - Unknown function"	7			"HPA059886: , HPA064453: "	"unprognostic (8.28e-2)"		"unprognostic (1.14e-1)"		"unprognostic (1.62e-1)"					"unprognostic (1.73e-1)"	"unprognostic (1.24e-1)"			"unprognostic (1.37e-1)"	"unprognostic (8.18e-2)"	"unprognostic (1.62e-2)"	"unprognostic (4.20e-3)"	"unprognostic (3.87e-1)"	"unprognostic (6.91e-2)"		"unprognostic (1.03e-1)"	"unprognostic (1.60e-1)"		"unprognostic (1.76e-1)"	"unprognostic (8.05e-2)"			"unprognostic (5.78e-2)"		"unprognostic (2.73e-3)"	"unprognostic (1.66e-3)"
CD24	CD24A	ENSG00000272398	"CD24 molecule"	P25063	6	106969831-106975627	"Cancer-related genes, CD markers, Disease related genes, Predicted intracellular proteins"			"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"thyroid gland: 1581.7"	"Cell type enhanced"	"Detected in many"		"Distal enterocytes: 2800.6;Exocrine glandular cells: 2217.6;Glandular and luminal cells: 1467.2;Suprabasal keratinocytes: 1440.9"	"Cell type enriched"	"Detected in many"	4	"ependymal cell: 145.3"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in some"	29	"eosinophil: 86.4;memory B-cell: 61.3;naive B-cell: 39.9"	"Group enriched"	"Detected in many"	240	"B-cells: 61.3;granulocytes: 86.4"	"Cancer enhanced"	"Detected in all"		"breast cancer: 1239.9"	"Adrenal gland - Adrenal medulla cells, Colon - Colon enterocytes, Lung - Respiratory ciliated cells, Thyroid gland - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Region enhanced"	"Detected in all"		"spinal cord: 159.0"	"HPA045879, CAB078471"	Approved		Enhanced	Vesicles	"Intracellular and membrane"	"No annotated function"	NA	NA			"Cluster 29: Non-specific - Unknown function"	"Cluster 38: Salivary gland - Salivary secretion"	"Cluster 29: Forebrain - Mixed function"	"Cluster 27: Breast cancer - Unknown function"	"Cluster 3: Basal prostatic cells - Lipid metabolism"	2	Vesicles		"CAB078471: AB_10983158, HPA045879: AB_2732523"	"unprognostic (1.07e-1)"	"unprognostic (1.15e-7)"	"unprognostic (3.01e-1)"	"unprognostic (2.27e-3)"	"unprognostic (7.58e-2)"	"unprognostic (3.26e-3)"	"unprognostic (3.14e-2)"		"unprognostic (1.03e-1)"	"unprognostic (1.65e-1)"	"unprognostic (1.59e-2)"	"unprognostic (9.58e-2)"	"unprognostic (6.33e-2)"	"unprognostic (1.28e-4)"	"unprognostic (2.84e-2)"	"unprognostic (2.21e-1)"	"unprognostic (4.63e-2)"	"unprognostic (3.09e-1)"	"unprognostic (4.96e-2)"	"unprognostic (2.99e-1)"		"unprognostic (2.03e-2)"		"unprognostic (9.77e-2)"	"unprognostic (8.25e-4)"	"unprognostic (1.18e-1)"	"unprognostic (2.58e-1)"	"unprognostic (2.95e-1)"	"unprognostic (1.13e-1)"	"unprognostic (1.48e-1)"	"unprognostic (4.38e-1)"
CLDN3	"C7orf1, CPE-R2, CPETR2, HRVP1, RVP1"	ENSG00000165215	"Claudin 3"	O15551	7	73768997-73770270	"Cancer-related genes, Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"			"Cancer-related genes, Williams-Beuren syndrome"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"intestine: 255.8;thyroid gland: 112.8"	"Cell type enhanced"	"Detected in many"		"Distal enterocytes: 3382.2;Enteroendocrine cells: 1232.2;Glandular and luminal cells: 1710.6;Intestinal goblet cells: 1891.4;Paneth cells: 2536.5;Proximal enterocytes: 3236.9;Undifferentiated cells: 1191.8"	"Group enriched"	"Detected in some"	4	"choroid plexus epithelial cell: 27.3;ependymal cell: 16.9"	"Cancer enhanced"	"Detected in many"		"Ovary Serous Cystadenocarcinoma (TCGA): 572.6"	"Region enriched"	"Detected in all"	8	"choroid plexus: 81.3"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"colorectal cancer: 169.1"	"Colon - Colon enterocytes, Lung - Alveolar cells type 2, Minor Salivary Gland - Minor salivary glandular cells, Prostate - Prostate glandular cells, Skin - Eccrine sweat gland cells, Stomach - Gastric enteroendocrine cells, Testis - Sertoli cells"	"Region enhanced"	"Detected in single"		"basal ganglia: 1.5"					HPA014361	Enhanced		Supported	"Cell Junctions"			NA	NA				"Cluster 45: Intestine - Digestion"	"Cluster 36: Choroid plexus - Mixed function"	"Cluster 57: Stomach & Colon cancer - Digestion"	"Cluster 5: Enterocytes - Absorption"		"Cell Junctions"		"HPA014361: AB_2668982"	"unprognostic (1.32e-1)"	"unprognostic (2.61e-1)"	"unprognostic (3.12e-1)"	"unprognostic (6.55e-4)"	"unprognostic (2.67e-1)"	"unprognostic (1.42e-2)"			"unprognostic (1.08e-1)"	"unprognostic (3.59e-5)"	"unprognostic (1.89e-4)"	"unprognostic (1.02e-2)"	"unprognostic (1.78e-5)"	"unprognostic (2.81e-2)"	"unprognostic (2.17e-1)"	"unprognostic (1.69e-1)"	"unprognostic (2.28e-1)"	"unprognostic (1.22e-2)"	"unprognostic (3.94e-2)"	"unprognostic (2.81e-2)"	"unprognostic (1.37e-1)"	"unprognostic (1.33e-3)"	"unprognostic (4.31e-2)"	"unprognostic (2.64e-1)"	"unprognostic (3.26e-1)"	"unprognostic (2.81e-1)"		"unprognostic (3.00e-2)"	"unprognostic (2.71e-1)"	"unprognostic (1.60e-2)"	"unprognostic (1.03e-2)"
CLIC3		ENSG00000169583	"Chloride intracellular channel 3"	O95833	9	136994608-136996568	"Plasma proteins, Predicted intracellular proteins, Transporters"	"Ion transport, Transport"	"Chloride channel, Ion channel, Oxidoreductase, Voltage-gated channel"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"esophagus: 308.1;skin 1: 118.3;thyroid gland: 106.3;vagina: 128.2"	"Cell type enhanced"	"Detected in many"		"Alveolar cells type 1: 782.5;Cytotrophoblasts: 783.7;dendritic cells: 743.8;Extravillous trophoblasts: 1439.7;NK-cells: 469.6;Suprabasal keratinocytes: 979.3;Syncytiotrophoblasts: 2193.7"	"Cell type enriched"	"Detected in some"	4	"leukocyte: 50.5"	"Cancer enhanced"	"Detected in many"		"Bladder Urothelial Carcinoma (TCGA): 136.9;Thyroid Carcinoma (TCGA): 252.2"	"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in many"	9	"plasmacytoid DC: 2643.0"	"Lineage enriched"	"Detected in all"	9	"dendritic cells: 2643.0"	"Low cancer specificity"	"Detected in many"			"Adipose visceral - Mesothelial cells, Liver - NK-cells (Liver), Lung - Alveolar cells type 1, Spleen - NK-cells (Spleen)"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			HPA005963	Enhanced		Supported	"Nuclear bodies"			NA	NA			"Cluster 8: Plasmacytoid DCs - Unknown function"	"Cluster 27: Squamous epithelium - Keratinization"	"Cluster 25: Non-specific - Transcription"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 59: Suprabasal keratinocytes - Cornification"	33	"Nuclear bodies"		"HPA005963: AB_1078536"	"unprognostic (7.50e-2)"	"unprognostic (8.23e-2)"	"unprognostic (1.01e-1)"	"unprognostic (2.47e-2)"	"unprognostic (2.32e-1)"	"unprognostic (2.32e-1)"			"unprognostic (2.15e-1)"		"unprognostic (6.43e-5)"	"unprognostic (9.51e-4)"	"unprognostic (9.77e-2)"	"unprognostic (9.78e-3)"	"unprognostic (7.47e-2)"	"unprognostic (2.28e-1)"	"unprognostic (7.89e-2)"	"unprognostic (6.83e-4)"	"unprognostic (7.65e-2)"	"unprognostic (1.14e-2)"	"unprognostic (8.95e-2)"	"unprognostic (2.15e-3)"	"unprognostic (3.13e-2)"	"unprognostic (1.49e-1)"	"unprognostic (8.87e-2)"	"unprognostic (7.26e-2)"	"unprognostic (1.51e-1)"	"unprognostic (7.93e-3)"	"unprognostic (1.86e-2)"	"unprognostic (9.04e-2)"	"unprognostic (2.48e-1)"
CNTN5	"hNB-2, NB-2"	ENSG00000149972	"Contactin 5"	O94779	11	99020949-100358885	"Plasma proteins, Predicted intracellular proteins"	"Cell adhesion"			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"brain: 1.5;placenta: 2.5;salivary gland: 2.0;thyroid gland: 1.9"	"Group enriched"	"Detected in some"	14	"Excitatory neurons: 938.0;Inhibitory neurons: 2198.4"	"Cell type enhanced"	"Detected in all"		"miscellaneous: 5880.7"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in single"		"Myeloma: 1.5"	"Colon - Colon enteroendocrine cells, Lung - Respiratory ciliated cells, Pancreas - Beta cells, Thyroid gland - Thyroid glandular cells"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"HPA039492, HPA041223"	Approved				"Intracellular and membrane"	"Cell adhesion"	NA	NA		520000		"Cluster 34: Non-specific - Mixed function"	"Cluster 40: Astrocytes - Astrocyte-neuron interactions"	"Cluster 51: Myeloma - Immunoglobulins"	"Cluster 65: Neurons - Synaptic function"				"HPA039492: AB_10795108, HPA041223: AB_10794549"			"unprognostic (1.15e-2)"																"unprognostic (2.00e-1)"												
CNTN6	NB-3	ENSG00000134115	"Contactin 6"	Q9UQ52	3	1092658-1404217	"Predicted membrane proteins"	"Cell adhesion, Notch signaling pathway"			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"brain: 8.8;thyroid gland: 9.4"	"Group enriched"	"Detected in some"	4	"Excitatory neurons: 123.4;Inhibitory neurons: 72.6;Oligodendrocyte precursor cells: 49.5"	"Cell type enhanced"	"Detected in all"		"upper rhombic lip: 532.0"	"Group enriched"	"Detected in some"	15	"Kidney Renal Papillary Cell Carcinoma (TCGA): 9.5;Thyroid Carcinoma (TCGA): 4.8"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"testis cancer: 1.5;thyroid cancer: 1.9"	"Lung - Alveolar cells type 1, Pituitary gland - Undifferentiated cells (Pituitary gland), Testis - Early spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in many"			HPA016645	Uncertain						NA	NA		3700000		"Cluster 65: Cerebellum - Nervous system development"	"Cluster 35: Non-specific - DNA binding"	"Cluster 55: Lymphoma - Immune response"	"Cluster 34: Neurons - Neuronal signaling"				"HPA016645: AB_1847149"			"unprognostic (1.22e-1)"										"unprognostic (2.33e-4)"																	"unprognostic (6.85e-2)"	
CPQ	"LDP, PGCP"	ENSG00000104324	"Carboxypeptidase Q"	Q9Y646	8	96645242-97149654	"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"		"Carboxypeptidase, Hydrolase, Metalloprotease, Protease"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"thyroid gland: 219.3"	"Cell type enhanced"	"Detected in all"		"Oligodendrocytes: 278.9"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in all"		"neutrophil: 251.8"	"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in many"			"Adipose subcutaneous - Adipose progenitor cells, Minor Salivary Gland - Fibroblasts, Pituitary gland - Fibroblasts, Prostate - Fibroblasts, Skeletal muscle - Fibroblasts, Skin - Fibroblast_1, Spleen - Fibroblast_1, Thyroid gland - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA023235, HPA024490"	Enhanced		Supported	"Golgi apparatus,Vesicles"	"Secreted to blood"	Enzyme	NA	NA		36000000	"Cluster 7: Non-specific - Innate immune response"	"Cluster 51: Thyroid gland - Unknown function"	"Cluster 13: Oligodendrocytes - Mixed function"	"Cluster 64: Connective tissue cells - ECM organization"	"Cluster 53: Fibroblasts - ECM organization"		"Golgi apparatus, Vesicles"		"HPA023235: AB_1855257, HPA024490: AB_1855258"	"unprognostic (5.00e-5)"	"unprognostic (4.08e-2)"		"unprognostic (3.30e-2)"	"unprognostic (6.02e-2)"	"unprognostic (3.11e-2)"	"unprognostic (7.73e-7)"	"unprognostic (1.77e-5)"	"unprognostic (2.57e-3)"	"unprognostic (1.66e-1)"	"unprognostic (5.32e-9)"	"unprognostic (2.30e-2)"	"unprognostic (1.36e-2)"	"unprognostic (9.03e-2)"		"unprognostic (1.16e-1)"	"unprognostic (1.50e-1)"	"unprognostic (4.01e-3)"	"unprognostic (3.39e-1)"	"unprognostic (1.65e-2)"	"unprognostic (2.26e-3)"	"unprognostic (8.39e-3)"	"unprognostic (1.20e-5)"	"unprognostic (2.99e-2)"	"unprognostic (7.68e-2)"	"unprognostic (1.55e-1)"	"unprognostic (2.45e-2)"	"unprognostic (7.89e-3)"	"unprognostic (7.61e-2)"	"unprognostic (2.11e-2)"	"unprognostic (5.60e-2)"
CRABP1	"CRABP, CRABP-I, CRABPI, RBP5"	ENSG00000166426	"Cellular retinoic acid binding protein 1"	P29762	15	78340353-78348225	"Cancer-related genes, Plasma proteins, Predicted intracellular proteins"	Transport		"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"retina: 527.4;thyroid gland: 168.1"	"Cell type enriched"	"Detected in some"	15	"Muller glia cells: 4643.4"	"Cell type enhanced"	"Detected in many"		"LAMP5-LHX6 and Chandelier: 21.6;splatter: 26.4"	"Cancer enhanced"	"Detected in many"		"Ovary Serous Cystadenocarcinoma (TCGA): 220.5"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in many"	5	"Bone cancer: 80.7;breast cancer: 49.6;Neuroblastoma: 180.6"	"Colon - Colon enteroendocrine cells, Thyroid gland - Thyroid glandular cells"	"Group enriched"	"Detected in many"	5	"amygdala: 6.4;basal ganglia: 23.4;hypothalamus: 13.3;olfactory bulb: 12.8;pons and medulla: 7.4"	"Low region specificity"	"Detected in all"			HPA017203	Enhanced	Supported					NA	NA				"Cluster 76: Retina - Visual perception"	"Cluster 45: Non-specific - Mixed function"	"Cluster 17: Neuroblastoma - Neuronal signaling"	"Cluster 10: Muller glia cells - Visual perception"	3			"HPA017203: AB_1846512"	"unprognostic (1.26e-1)"	"unprognostic (1.03e-1)"	"unprognostic (6.46e-2)"	"unprognostic (1.97e-1)"	"unprognostic (1.92e-1)"		"unprognostic (2.76e-1)"	"unprognostic (1.85e-1)"	"unprognostic (1.77e-2)"	"unprognostic (1.31e-1)"	"unprognostic (1.12e-1)"					"unprognostic (1.97e-1)"	"unprognostic (2.08e-1)"	"unprognostic (1.42e-2)"	"unprognostic (3.26e-2)"	"unprognostic (9.25e-2)"	"unprognostic (3.63e-1)"	"unprognostic (1.18e-1)"		"unprognostic (8.78e-2)"	"unprognostic (4.80e-2)"		"unprognostic (1.19e-1)"	"unprognostic (1.12e-1)"	"unprognostic (1.61e-1)"	"unprognostic (5.66e-2)"	"unprognostic (5.09e-3)"
CSGALNACT1	"ChGn, CSGalNAcT-1, FLJ11264"	ENSG00000147408	"Chondroitin sulfate N-acetylgalactosaminyltransferase 1"	Q8TDX6	8	19404161-19758029	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"		Transferase	"Disease variant, Dwarfism"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"thyroid gland: 73.3"	"Cell type enhanced"	"Detected in many"		"Astrocytes: 468.8;Excitatory neurons: 139.3;Microglial cells: 214.7;Oligodendrocyte precursor cells: 333.9;Prostatic glandular cells: 97.2"	"Cell type enhanced"	"Detected in all"		"astrocyte: 893.1;central nervous system macrophage: 1308.5"	"Cancer enhanced"	"Detected in all"		"Prostate Adenocarcinoma (TCGA): 44.9"	"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in many"		"T-reg: 58.0"	"Group enriched"	"Detected in all"	5	"B-cells: 36.7;granulocytes: 25.2;T-cells: 58.0"	"Cancer enhanced"	"Detected in all"		"Adrenocortical cancer: 34.3"	"Liver - Hepatic stellate cells, Skin - Endothelial cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in many"			HPA068462			Approved	"Golgi apparatus,Cytosol"			NA	NA			"Cluster 43: Non-specific - Transcription & Translation"	"Cluster 7: Adipose tissue - Mixed function"	"Cluster 51: Neurons - Mixed function"	"Cluster 7: Liver cancer - Metabolism"	"Cluster 34: Neurons - Neuronal signaling"		Cytosol	"Golgi apparatus"	"HPA068462: "	"unprognostic (3.29e-2)"	"unprognostic (1.81e-1)"	"unprognostic (1.23e-1)"	"unprognostic (8.44e-2)"	"unprognostic (1.57e-1)"	"unprognostic (3.00e-1)"	"unprognostic (1.18e-1)"	"unprognostic (2.73e-3)"	"unprognostic (1.19e-2)"	"unprognostic (3.58e-1)"	"unprognostic (7.93e-5)"	"unprognostic (1.51e-3)"	"unprognostic (7.47e-4)"	"unprognostic (2.06e-1)"	"unprognostic (1.88e-1)"	"unprognostic (1.07e-2)"	"unprognostic (9.13e-2)"	"unprognostic (1.04e-1)"	"unprognostic (1.62e-2)"	"unprognostic (9.47e-2)"	"unprognostic (5.88e-2)"	"unprognostic (1.02e-2)"	"unprognostic (1.76e-1)"	"unprognostic (5.79e-2)"	"unprognostic (1.29e-1)"	"unprognostic (2.97e-2)"	"unprognostic (2.29e-1)"	"unprognostic (2.74e-2)"	"unprognostic (4.67e-2)"	"unprognostic (8.62e-4)"	"unprognostic (1.79e-2)"
CTAGE8		ENSG00000289604	"CTAGE family member 8"	P0CG41	7	144266674-144269288	"Predicted membrane proteins"				"Evidence at protein level"	"Evidence at protein level"	"No human protein/transcript evidence"	"Evidence at transcript level"	"Tissue enhanced"	"Detected in some"		"skin 1: 6.6;thyroid gland: 5.0"													"Region enriched"	"Detected in single"	4	"choroid plexus: 3.5"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"												"HPA000387, HPA000922"	Uncertain						NA	NA					"Cluster 42: Choroid plexus - Mitochondria"	"Cluster 30: Non-specific - Gene expression regulation"					"HPA000387: AB_1078582, HPA000922: AB_1078581"																															
CYP27B1	"CYP1, P450c1, PDDR, VDD1"	ENSG00000111012	"Cytochrome P450 family 27 subfamily B member 1"	O15528	12	57762334-57768986	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"Lipid metabolism"	"Monooxygenase, Oxidoreductase"	"Disease variant"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"kidney: 14.7;thyroid gland: 5.5"	"Cell type enhanced"	"Detected in some"		"Exocrine glandular cells: 16.6;Proximal tubular cells: 22.7;Rod photoreceptor cells: 5.6"	"Low cell type specificity"	"Detected in single"			"Low cancer specificity"	"Detected in many"			"Not detected"	"Not detected"			"Immune cell enriched"	"Detected in single"	6	"MAIT T-cell: 1.2"	"Lineage enriched"	"Detected in single"	12	"T-cells: 1.2"	"Low cancer specificity"	"Detected in many"			"Kidney - Proximal tubular cells"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"										NA	NA				"Cluster 52: Kidney - Transmembrane transport"		"Cluster 7: Liver cancer - Metabolism"	"Cluster 38: Proximal tubular cells - Transmembrane transport"					"unprognostic (6.49e-3)"	"unprognostic (1.76e-1)"	"unprognostic (1.50e-2)"	"unprognostic (8.53e-5)"			"unprognostic (3.04e-1)"	"unprognostic (3.17e-3)"	"unprognostic (7.36e-3)"	"unprognostic (2.76e-2)"		"unprognostic (2.24e-3)"	"unprognostic (1.51e-1)"			"unprognostic (1.78e-1)"	"unprognostic (1.02e-2)"	"unprognostic (9.02e-2)"	"unprognostic (5.12e-2)"								"unprognostic (1.88e-1)"	"unprognostic (3.61e-2)"	"unprognostic (3.98e-2)"	"unprognostic (5.43e-4)"	
