Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
FFAR4	"GPR120, GPR129, O3FAR1, PGR4"	ENSG00000186188	"Free fatty acid receptor 4"	Q5NUL3	10	93566665-93604480	"FDA approved drug targets, G-protein coupled receptors, Human disease related genes, Predicted membrane proteins, Transporters"	"Differentiation, Inflammatory response"	"G-protein coupled receptor, Receptor, Transducer"	"FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	5	"adipose tissue: 3.9;intestine: 11.0;lung: 3.4;pituitary gland: 10.7"	"Cell type enhanced"	"Detected in some"		"Early spermatids: 30.4;Intestinal goblet cells: 81.8;Late spermatids: 19.1;Pancreatic endocrine cells: 22.1;Paneth cells: 12.9"	"Cell type enhanced"	"Detected in many"		"central nervous system macrophage: 36.7"	"Cancer enhanced"	"Detected in some"		"Colon Adenocarcinoma (TCGA): 6.1;Rectum Adenocarcinoma (TCGA): 4.6"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"colorectal cancer: 4.3"	"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Adrenal gland - Macrophages, Breast - Adipocytes (Breast), Colon - Colon enterocytes, Pituitary gland - Corticotropes, Testis - Late spermatids, Thyroid gland - Macrophages"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			HPA042563			Supported	"Vesicles,Plasma membrane,Basal body"			NA	NA			"Cluster 38: Monocytes & Neutrophils - Degranulation"	"Cluster 45: Intestine - Digestion"	"Cluster 56: Hypothalamus - Neuropeptide signaling"	"Cluster 57: Stomach & Colon cancer - Digestion"	"Cluster 16: Intestinal goblet cells - Mucin production"		"Plasma membrane"	"Vesicles, Basal body"	"HPA042563: AB_10794762"					"unprognostic (8.43e-2)"	"unprognostic (1.98e-3)"						"unprognostic (2.38e-1)"	"unprognostic (4.83e-2)"			"unprognostic (7.43e-3)"	"unprognostic (1.14e-1)"					"unprognostic (2.21e-1)"			"unprognostic (1.29e-1)"	"unprognostic (2.82e-2)"		"unprognostic (7.80e-2)"			
IGHJ6		ENSG00000211900	"Immunoglobulin heavy joining 6"		14	105863198-105863258	"Immunoglobulin genes, Predicted intracellular proteins"				"Evidence at transcript level"	"Evidence at transcript level"			"Group enriched"	"Detected in many"	5	"cervix: 132.5;intestine: 38.7;lung: 43.7;lymphoid tissue: 61.3;testis: 147.9"	"Cell type enriched"	"Detected in single"	59	"Plasma cells: 27.0"	"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in single"			"Group enriched"	"Detected in many"	14	"memory B-cell: 323.3;naive B-cell: 111.0"	"Lineage enriched"	"Detected in many"	22	"B-cells: 323.3"	"Cancer enriched"	"Detected in some"	7	"lymphoma: 42.7"	"Adipose subcutaneous - Plasma cells, Adipose visceral - Plasma cells, Adrenal gland - Plasma cells, Breast - Plasma cells, Colon - Plasma cells, Heart muscle - Plasma cells, Kidney - Plasma cells, Liver - Plasma cells, Lung - Plasma cells, Minor Salivary Gland - Plasma cells, Pancreas - Plasma cells, Pituitary gland - Plasma cells, Prostate - Plasma cells, Skeletal muscle - Plasma cells, Skin - Plasma cells, Spleen - Plasma cells, Stomach - Plasma cells, Thyroid gland - Plasma cells"																NA	NA			"Cluster 23: B-cells - Immunoglobulins"		"Cluster 32: Cerebral cortex - Mixed function"	"Cluster 46: Lymphoma - Humoral immune response"	"Cluster 23: Plasma cells - Humoral immune response"					"unprognostic (1.13e-1)"	"unprognostic (8.89e-2)"		"unprognostic (7.62e-2)"	"unprognostic (7.30e-2)"				"unprognostic (1.77e-1)"		"unprognostic (4.77e-1)"	"unprognostic (8.22e-2)"	"unprognostic (1.11e-1)"	"unprognostic (2.40e-1)"		"unprognostic (1.34e-1)"	"unprognostic (1.11e-1)"	"unprognostic (1.30e-2)"	"unprognostic (6.61e-2)"	"unprognostic (5.14e-1)"		"unprognostic (1.07e-1)"		"unprognostic (3.11e-1)"	"unprognostic (1.07e-2)"			"unprognostic (2.85e-1)"	"unprognostic (9.19e-3)"	"unprognostic (3.43e-1)"	"unprognostic (7.07e-1)"
IL1RL1	"DER4, FIT-1, IL33R, ST2, ST2L, ST2V, T1"	ENSG00000115602	"Interleukin 1 receptor like 1"	Q01638	2	102311502-102352037	"Candidate cardiovascular disease genes, Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"		"Hydrolase, Receptor"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	5	"choroid plexus: 59.9;kidney: 122.8;lung: 157.1;placenta: 193.2"	"Cell type enriched"	"Detected in many"	6	"granulocytes: 1024.3"	"Cell type enhanced"	"Detected in single"		"endothelial cell: 1.1"	"Cancer enhanced"	"Detected in many"		"Thyroid Carcinoma (TCGA): 14.6"	"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in some"	64	"basophil: 38.4;eosinophil: 29.4"	"Lineage enriched"	"Detected in single"	73	"granulocytes: 38.4"	"Cancer enhanced"	"Detected in many"		"Esophageal cancer: 24.0;pancreatic cancer: 13.6"		"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"HPA007406, HPA007917"	Uncertain		Supported	"Plasma membrane,Focal adhesion sites,Cytosol"	"Secreted to blood"	Receptor	NA	NA	19100000	4500000	"Cluster 41: Basophils - Unknown function"	"Cluster 57: Lung - Lung function"	"Cluster 42: Choroid plexus - Mitochondria"	"Cluster 49: HMC-1 - Innate immune response"	"Cluster 30: Granulocytes - Unknown function"	2	"Plasma membrane"	"Focal adhesion sites, Cytosol"	"HPA007406: AB_1079128, HPA007917: AB_1079129"			"unprognostic (7.84e-2)"			"unprognostic (1.37e-2)"			"unprognostic (6.64e-3)"		"unprognostic (5.89e-6)"	"unprognostic (5.69e-3)"	"unprognostic (1.25e-1)"			"unprognostic (6.01e-2)"	"unprognostic (5.11e-1)"	"unprognostic (3.32e-2)"	"unprognostic (1.55e-1)"			"unprognostic (1.06e-1)"	"unprognostic (1.10e-1)"			"unprognostic (2.22e-4)"		"unprognostic (9.05e-3)"		"unprognostic (7.18e-2)"	
LILRB2	"CD85d, ILT4, LIR-2, LIR2, MIR-10, MIR10"	ENSG00000131042	"Leukocyte immunoglobulin like receptor B2"	Q8N423	19	54273812-54281184	"CD markers, Predicted membrane proteins"	"Adaptive immunity, Immunity"	Receptor		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	5	"bone marrow: 34.7;lung: 14.5;lymphoid tissue: 50.0"	"Cell type enriched"	"Detected in some"	4	"monocytes: 926.9"	"Group enriched"	"Detected in some"	144	"central nervous system macrophage: 17.8;leukocyte: 50.8"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"Group enriched"	"Detected in many"	5	"classical monocyte: 61.3;intermediate monocyte: 131.4;neutrophil: 63.2;non-classical monocyte: 152.2"	"Group enriched"	"Detected in many"	6	"granulocytes: 63.2;monocytes: 152.2"	"Not detected"	"Not detected"			"Adipose subcutaneous - Macrophages, Breast - Macrophages, Kidney - Macrophages, Lung - Neutrophil_2, Minor Salivary Gland - Macrophages, Pituitary gland - Macrophages, Stomach - Macrophages"																NA	NA		140000000	"Cluster 37: Monocytes & Neutrophils - Innate immune response"	"Cluster 81: Lymphoid tissue & Bone marrow - Innate immune response"	"Cluster 12: Non-specific - Vasculature"	"Cluster 14: Myeloid leukemia - Innate immune response"	"Cluster 29: Monocytes - Innate immune response"	6						"unprognostic (6.53e-3)"			"unprognostic (8.63e-2)"						"unprognostic (2.49e-1)"			"unprognostic (3.33e-2)"		"unprognostic (3.12e-2)"		"unprognostic (4.69e-1)"		"unprognostic (3.68e-2)"		"unprognostic (1.86e-1)"			"unprognostic (8.20e-2)"					
LRRK2	"DKFZp434H2111, FLJ45829, PARK8, RIPK7, ROCO2"	ENSG00000188906	"Leucine rich repeat kinase 2"	Q5S007	12	40196744-40369285	"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters"	"Autophagy, Differentiation"	"GTPase activation, Hydrolase, Kinase, Serine/threonine-protein kinase, Transferase"	"Cancer-related genes, Disease variant, Neurodegeneration, Parkinson disease, Parkinsonism"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	5	"lung: 50.8"	"Cell type enhanced"	"Detected in many"		"Alveolar cells type 2: 767.5;monocytes: 185.4;Oligodendrocyte precursor cells: 241.0;Skeletal myocytes: 246.9"	"Cell type enhanced"	"Detected in all"		"oligodendrocyte precursor cell: 470.3"	"Group enriched"	"Detected in many"	6	"Kidney Renal Clear Cell Carcinoma (TCGA): 18.6;Kidney Renal Papillary Cell Carcinoma (TCGA): 32.9;Lung Adenocarcinoma (TCGA): 10.2;Thyroid Carcinoma (TCGA): 27.8"	"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in many"	8	"neutrophil: 58.3"	"Lineage enriched"	"Detected in many"	8	"granulocytes: 58.3"	"Cancer enhanced"	"Detected in some"		"Kidney cancer: 3.3;lymphoma: 3.2;skin cancer: 3.4"	"Adrenal gland - Adrenal cortex cells, Breast - Fibroblasts, Liver - Hepatocytes, Lung - Alveolar cells type 2, Prostate - Fibroblasts, Spleen - Neutrophils"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA014293, CAB037160"	Approved		Approved	"Nucleoplasm,Nuclear membrane,Vesicles,Basal body,Cytosol"			NA	NA			"Cluster 28: Neutrophils - Unknown function"	"Cluster 57: Lung - Lung function"	"Cluster 53: Neurons - Mixed function"	"Cluster 55: Lymphoma - Immune response"	"Cluster 72: Alveolar cells - Lung function"	212	"Vesicles, Basal body"	"Nucleoplasm, Nuclear membrane, Cytosol"	"CAB037160: AB_1840989, HPA014293: AB_1853353"		"unprognostic (1.02e-1)"	"unprognostic (3.94e-1)"				"unprognostic (3.17e-2)"	"unprognostic (2.05e-2)"		"unprognostic (1.08e-1)"	"unprognostic (9.57e-12)"	"unprognostic (1.03e-2)"	"unprognostic (1.48e-1)"		"unprognostic (1.28e-2)"	"unprognostic (4.53e-2)"	"unprognostic (1.60e-2)"	"unprognostic (1.26e-2)"	"unprognostic (2.04e-1)"			"unprognostic (2.39e-1)"	"unprognostic (1.31e-1)"				"unprognostic (3.35e-1)"			"unprognostic (1.90e-2)"	
MYO1F		ENSG00000142347	"Myosin IF"	O00160	19	8520778-8577577	"Disease related genes, Plasma proteins, Predicted intracellular proteins"		"Actin-binding, Calmodulin-binding, Motor protein, Myosin"	"Deafness, Disease variant, Non-syndromic deafness"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	5	"bone marrow: 94.9;lung: 28.4;lymphoid tissue: 90.8"	"Cell type enhanced"	"Detected in many"		"Hofbauer cells: 118.1;Kupffer cells: 200.2;Macrophages: 124.3;monocytes: 149.6;NK-cells: 353.5;T-cells: 85.1"	"Group enriched"	"Detected in many"	27	"central nervous system macrophage: 374.7;leukocyte: 391.8"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in all"		"neutrophil: 263.8"	"Low lineage specificity"	"Detected in all"			"Cancer enriched"	"Detected in some"	8	"Leukemia: 51.2"	"Adipose subcutaneous - Macrophages, Adrenal gland - Macrophages, Lung - Neutrophil_2, Minor Salivary Gland - Macrophages, Spleen - Neutrophils, Testis - Macrophages, Thyroid gland - T-cells"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"HPA055242, HPA056036"	Enhanced		Enhanced	Cytosol			NA	NA		22000	"Cluster 28: Neutrophils - Unknown function"	"Cluster 81: Lymphoid tissue & Bone marrow - Innate immune response"	"Cluster 20: Macrophages & Microglia - Immune response"	"Cluster 14: Myeloid leukemia - Innate immune response"	"Cluster 19: NK-cells - Adaptive immune response"	12	Cytosol		"HPA055242: AB_2682754, HPA056036: "	"unprognostic (2.20e-2)"	"unprognostic (6.33e-2)"	"unprognostic (9.12e-3)"	"unprognostic (2.49e-3)"	"unprognostic (5.76e-2)"	"unprognostic (1.88e-1)"	"unprognostic (7.86e-3)"	"unprognostic (2.99e-1)"	"unprognostic (5.11e-3)"	"unprognostic (3.35e-1)"	"unprognostic (6.48e-2)"	"unprognostic (1.42e-1)"	"unprognostic (6.29e-3)"	"unprognostic (1.42e-1)"	"unprognostic (1.35e-2)"	"unprognostic (5.68e-3)"	"unprognostic (5.30e-2)"	"unprognostic (6.84e-2)"	"unprognostic (2.69e-1)"	"unprognostic (1.75e-1)"	"unprognostic (1.48e-1)"	"unprognostic (1.30e-2)"	"unprognostic (4.05e-2)"	"unprognostic (1.88e-1)"	"unprognostic (2.47e-2)"	"unprognostic (3.20e-2)"	"unprognostic (4.80e-3)"	"unprognostic (1.68e-1)"	"unprognostic (3.20e-3)"	"unprognostic (3.32e-2)"	"unprognostic (1.40e-1)"
OSCAR		ENSG00000170909	"Osteoclast associated Ig-like receptor"	Q8IYS5	19	54094668-54102692	"Predicted intracellular proteins, Predicted membrane proteins"		Receptor		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	5	"bone marrow: 13.2;lung: 27.5;lymphoid tissue: 29.0"	"Group enriched"	"Detected in some"	5	"Hofbauer cells: 49.4;Kupffer cells: 23.7;Langerhans cells: 16.0;Macrophages: 41.3;monocytes: 33.6"	"Cell type enhanced"	"Detected in many"		"central nervous system macrophage: 23.9;leukocyte: 11.7"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in many"	35	"classical monocyte: 41.9;eosinophil: 26.4;intermediate monocyte: 28.1;myeloid DC: 19.6;neutrophil: 38.8;non-classical monocyte: 26.7"	"Group enriched"	"Detected in many"	77	"dendritic cells: 19.6;granulocytes: 38.8;monocytes: 41.9"	"Group enriched"	"Detected in some"	4	"Leukemia: 8.2;ovarian cancer: 2.5;thyroid cancer: 5.9"	"Adipose subcutaneous - Macrophages, Kidney - Macrophages, Spleen - Neutrophils"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			HPA073996			Approved	"Nucleoplasm,Plasma membrane,Cytosol"	"Intracellular and membrane"	Receptor	NA	NA		49000000	"Cluster 7: Non-specific - Innate immune response"	"Cluster 81: Lymphoid tissue & Bone marrow - Innate immune response"	"Cluster 53: Neurons - Mixed function"	"Cluster 14: Myeloid leukemia - Innate immune response"	"Cluster 58: Macrophages - Innate immune response"		"Nucleoplasm, Plasma membrane, Cytosol"		"HPA073996: "		"unprognostic (3.52e-1)"	"unprognostic (1.23e-1)"			"unprognostic (5.15e-2)"	"unprognostic (8.76e-3)"		"unprognostic (2.51e-1)"		"unprognostic (1.93e-2)"	"unprognostic (4.19e-2)"	"unprognostic (1.39e-1)"		"unprognostic (1.15e-1)"	"unprognostic (5.79e-3)"	"unprognostic (3.95e-2)"	"unprognostic (9.68e-2)"	"unprognostic (1.19e-1)"	"unprognostic (9.12e-3)"	"unprognostic (2.59e-2)"	"unprognostic (2.75e-3)"	"unprognostic (2.81e-1)"					"unprognostic (1.82e-1)"	"unprognostic (4.79e-2)"		
PRF1	"HPLH2, P1, PFP"	ENSG00000180644	"Perforin 1"	P14222	10	70597348-70602759	"Cancer-related genes, Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters"	Cytolysis		"Cancer-related genes, Disease variant, Familial hemophagocytic lymphohistiocytosis"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	5	"bone marrow: 28.1;lung: 16.0;lymphoid tissue: 48.3"	"Cell type enriched"	"Detected in some"	4	"NK-cells: 1101.9"	"Cell type enriched"	"Detected in some"	233	"leukocyte: 262.5"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in many"	5	"gdT-cell: 900.8;MAIT T-cell: 628.8;memory CD8 T-cell: 498.2;naive CD8 T-cell: 313.2;NK-cell: 657.0"	"Group enriched"	"Detected in all"	50	"NK-cells: 657.0;T-cells: 900.8"	"Cancer enriched"	"Detected in some"	7	"lymphoma: 61.7"	"Adipose subcutaneous - T-cells, Adipose visceral - T-cells, Adrenal gland - T-cells, Breast - T-cells, Colon - T-cells, Heart muscle - T-cells, Lung - NK-cells (Lung), Minor Salivary Gland - T-cells, Pancreas - T-cells, Pituitary gland - T-cells, Prostate - T-cells, Thyroid gland - T-cells"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"CAB002436, HPA037940"	Approved		Approved	Cytosol	"Intracellular and membrane"	Other	NA	NA		8900000	"Cluster 15: NK-cells - Unknown function"	"Cluster 81: Lymphoid tissue & Bone marrow - Innate immune response"	"Cluster 8: Immune cells - Immune response"	"Cluster 71: Lymphoma - Inflammatory response"	"Cluster 19: NK-cells - Adaptive immune response"	32	Cytosol		"CAB002436: AB_563955, HPA037940: AB_2675747"	"unprognostic (6.33e-2)"	"unprognostic (6.91e-3)"	"unprognostic (3.79e-2)"	"unprognostic (4.56e-2)"	"unprognostic (1.02e-1)"	"unprognostic (1.25e-1)"	"unprognostic (3.46e-2)"		"unprognostic (2.80e-4)"	"unprognostic (1.46e-1)"	"unprognostic (2.23e-2)"	"unprognostic (5.18e-2)"	"unprognostic (6.31e-3)"	"unprognostic (2.16e-2)"	"unprognostic (5.25e-2)"	"unprognostic (2.01e-1)"	"unprognostic (9.53e-2)"	"unprognostic (9.32e-2)"	"unprognostic (2.82e-1)"	"unprognostic (2.67e-3)"	"unprognostic (4.49e-2)"	"unprognostic (1.93e-1)"	"unprognostic (1.60e-1)"	"unprognostic (1.45e-1)"	"unprognostic (1.01e-1)"	"unprognostic (2.23e-1)"	"unprognostic (1.55e-3)"	"unprognostic (4.34e-2)"	"unprognostic (3.06e-1)"	"unprognostic (2.08e-2)"	"unprognostic (2.40e-1)"
SFTA2	"SFTPG, SP-G"	ENSG00000196260	"Surfactant associated 2"	Q6UW10	6	30931353-30955636	"Predicted intracellular proteins, Predicted secreted proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	5	"esophagus: 47.7;lung: 173.7"	"Group enriched"	"Detected in many"	10	"Alveolar cells type 1: 1168.2;Alveolar cells type 2: 1665.0"	"Cell type enhanced"	"Detected in single"		"ependymal cell: 2.0"	"Cancer enriched"	"Detected in many"	13	"Lung Adenocarcinoma (TCGA): 175.1"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Bile duct cancer: 4.1;breast cancer: 3.0;lung cancer: 2.5"	"Lung - Alveolar cells type 2"					"Not detected"	"Not detected"								"Secreted in other tissues"	"No annotated function"	NA	NA				"Cluster 57: Lung - Lung function"		"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 72: Alveolar cells - Lung function"					"unprognostic (1.86e-1)"		"unprognostic (5.63e-1)"	"unprognostic (4.82e-2)"	"unprognostic (5.05e-2)"		"unprognostic (2.24e-3)"						"unprognostic (4.13e-2)"		"unprognostic (3.61e-1)"	"unprognostic (1.02e-1)"	"unprognostic (4.73e-2)"	"unprognostic (5.33e-2)"	"unprognostic (5.04e-2)"		"unprognostic (3.32e-2)"	"unprognostic (2.32e-3)"	"unprognostic (8.95e-2)"		"unprognostic (2.03e-1)"				"unprognostic (2.38e-1)"	"unprognostic (4.05e-2)"	"unprognostic (9.46e-2)"
TBX21	"T-bet, TBLYM"	ENSG00000073861	"T-box transcription factor 21"	Q9UL17	17	47733236-47746122	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Activator, DNA-binding, Repressor"	"Asthma, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	5	"bone marrow: 11.0;lung: 3.2;lymphoid tissue: 11.4"	"Group enriched"	"Detected in some"	11	"NK-cells: 125.9;T-cells: 42.0"	"Cell type enriched"	"Detected in single"	88	"leukocyte: 70.5"	"Low cancer specificity"	"Detected in some"			"Not detected"	"Not detected"			"Immune cell enhanced"	"Detected in many"		"gdT-cell: 15.7;NK-cell: 14.3"	"Group enriched"	"Detected in many"	7	"NK-cells: 14.3;T-cells: 15.7"	"Group enriched"	"Detected in some"	15	"Leukemia: 2.8;lymphoma: 6.1"	"Adipose subcutaneous - T-cells, Adipose visceral - T-cells, Adrenal gland - T-cells, Breast - T-cells, Colon - T-cells, Heart muscle - T-cells, Kidney - T-cells, Minor Salivary Gland - T-cells, Pancreas - T-cells, Pituitary gland - T-cells, Prostate - T-cells, Skin - T-cells, Testis - Spermatogonia, Thyroid gland - T-cells"	"Region enriched"	"Detected in single"	27	"olfactory bulb: 22.1"	"Region enriched"	"Detected in some"	4	"olfactory bulb: 5.6"	"CAB009524, CAB030043"	Enhanced						NA	NA			"Cluster 15: NK-cells - Unknown function"	"Cluster 81: Lymphoid tissue & Bone marrow - Innate immune response"		"Cluster 55: Lymphoma - Immune response"	"Cluster 19: NK-cells - Adaptive immune response"	4			"CAB009524: AB_2200557, CAB030043: AB_1595503"			"unprognostic (1.25e-2)"								"unprognostic (3.41e-2)"	"unprognostic (4.29e-2)"				"unprognostic (7.49e-2)"	"unprognostic (1.41e-1)"		"unprognostic (3.27e-1)"										"unprognostic (1.58e-1)"		
ULBP1	RAET1I	ENSG00000111981	"UL16 binding protein 1"	Q9BZM6	6	149963943-149973715	"Predicted membrane proteins"	"Host-virus interaction, Immunity"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	5	"brain: 3.6;lung: 1.6;testis: 3.3"	"Cell type enhanced"	"Detected in some"		"Breast myoepithelial cells: 3.9;Granulosa cells: 1.5;monocytes: 2.0;Sertoli cells: 2.7;Squamous epithelial cells: 2.8"	"Cell type enhanced"	"Detected in some"		"hippocampal CA4: 2.7;hippocampal dentate gyrus: 1.7;upper rhombic lip: 1.1"	"Low cancer specificity"	"Detected in some"			"Region enhanced"	"Detected in many"		"cerebellum: 10.3"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"												"HPA007547, HPA071005"	Enhanced		Supported	"Plasma membrane,Cytosol"			NA	NA				"Cluster 78: Testis - Transcription"	"Cluster 35: Non-specific - DNA binding"	"Cluster 13: Non-specific - Mixed function"	"Cluster 80: Non-specific - Transcription"	1	"Plasma membrane, Cytosol"		"HPA007547: AB_1079430, HPA071005: AB_2686332"			"unprognostic (9.76e-2)"	"unprognostic (1.66e-1)"					"unprognostic (1.31e-2)"								"unprognostic (1.30e-1)"	"unprognostic (6.59e-2)"	"unprognostic (6.13e-2)"											"unprognostic (1.11e-1)"	
